Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1967-68,23.0,LAL,NBA,F,44.0,,8.6,1.2,2.5,0.5,,,,1.2,2.5,0.5,0.5,0.3,0.3,1.0,,,1.6,0.7,,1.0,2.8,Dennis Hamilton,6-8
1968-69,24.0,ATL,NBA,F,25.0,,5.6,1.5,2.7,0.552,,,,1.5,2.7,0.552,0.552,0.1,0.2,0.4,,,1.2,0.3,,0.8,3.0,Dennis Hamilton,6-8
1969-70,25.0,PTP,ABA,F,72.0,,18.5,2.6,5.2,0.507,0.0,0.0,0.0,2.6,5.2,0.508,0.507,1.1,1.4,0.76,1.4,3.3,4.7,1.0,1.3,2.0,6.3,Dennis Hamilton,6-8
1970-71,26.0,KEN,ABA,F,3.0,,3.7,0.3,0.7,0.5,0.0,0.0,,0.3,0.7,0.5,0.5,0.3,0.3,1.0,0.0,0.3,0.3,0.3,1.0,0.3,1.0,Dennis Hamilton,6-8
