Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1959-60,23.0,MNL,NBA,F,69.0,,21.3,3.2,8.4,0.38,1.5,2.4,0.646,6.2,0.8,2.7,7.9,Tom Hawkins,6-5
1960-61,24.0,LAL,NBA,F,78.0,,23.7,4.0,9.2,0.431,1.8,3.0,0.596,6.1,1.1,2.7,9.7,Tom Hawkins,6-5
1961-62,25.0,LAL,NBA,F,79.0,,24.1,3.7,8.9,0.411,1.8,2.8,0.644,6.5,1.2,3.1,9.1,Tom Hawkins,6-5
1962-63,26.0,CIN,NBA,F,79.0,,21.8,3.8,8.0,0.471,1.9,3.1,0.61,6.9,1.3,2.5,9.4,Tom Hawkins,6-5
1963-64,27.0,CIN,NBA,F,73.0,,24.2,3.5,7.9,0.441,1.5,2.6,0.601,6.0,1.0,2.7,8.6,Tom Hawkins,6-5
1964-65,28.0,CIN,NBA,F,79.0,,23.6,2.8,6.8,0.409,1.5,2.6,0.569,6.0,1.0,3.0,7.0,Tom Hawkins,6-5
1965-66,29.0,CIN,NBA,F,79.0,,26.9,3.5,7.6,0.452,1.5,2.6,0.555,7.3,1.3,3.5,8.4,Tom Hawkins,6-5
1966-67,30.0,LAL,NBA,F,76.0,,23.7,3.6,7.5,0.481,1.1,2.3,0.474,5.7,1.1,2.7,8.3,Tom Hawkins,6-5
1967-68,31.0,LAL,NBA,F,78.0,,31.6,5.0,10.0,0.499,1.6,2.9,0.546,5.9,1.5,3.7,11.6,Tom Hawkins,6-5
1968-69,32.0,LAL,NBA,F,74.0,,20.4,3.1,6.2,0.499,0.8,2.0,0.411,3.6,1.1,2.3,7.1,Tom Hawkins,6-5
