Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1952-53,23.0,BLB,NBA,F-C,68,,33.3,2.9,7.0,.419,2.6,4.1,.626,7.4,1.9,3.6,8.4,Don Henriksen,6-7
1954-55,25.0,TOT,NBA,F-C,70,,23.8,2.0,5.8,.342,2.0,2.8,.703,6.9,1.6,2.7,5.9,Don Henriksen,6-7
