Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1959-60,23.0,DET,NBA,F,75.0,,31.3,6.8,14.9,0.456,4.2,5.6,0.739,10.5,0.8,3.8,17.8,Bailey Howell,6-7
1960-61,24.0,DET,NBA,F,77.0,,38.3,7.9,16.8,0.469,7.8,10.4,0.753,14.4,2.5,3.9,23.6,Bailey Howell,6-7
1961-62,25.0,DET,NBA,F,79.0,,36.2,7.0,15.1,0.464,5.9,7.7,0.768,12.6,2.4,4.0,19.9,Bailey Howell,6-7
1962-63,26.0,DET,NBA,F,79.0,,37.6,8.1,15.6,0.516,6.6,8.2,0.798,11.5,2.9,3.8,22.7,Bailey Howell,6-7
1963-64,27.0,DET,NBA,F,77.0,,35.1,7.8,16.5,0.472,6.1,7.5,0.809,10.1,2.7,3.8,21.6,Bailey Howell,6-7
1964-65,28.0,BAL,NBA,F,80.0,,37.2,6.4,13.0,0.495,6.3,7.9,0.801,10.9,2.6,4.3,19.2,Bailey Howell,6-7
1965-66,29.0,BAL,NBA,F,78.0,,29.8,6.2,12.6,0.488,5.2,7.1,0.73,9.9,2.0,3.9,17.5,Bailey Howell,6-7
1966-67,30.0,BOS,NBA,F,81.0,,30.9,7.9,15.3,0.512,4.3,5.8,0.741,8.4,1.3,3.7,20.0,Bailey Howell,6-7
1967-68,31.0,BOS,NBA,F,82.0,,34.2,7.8,16.3,0.481,4.1,5.6,0.727,9.8,1.6,3.5,19.8,Bailey Howell,6-7
1968-69,32.0,BOS,NBA,F,78.0,,32.4,7.8,16.1,0.487,4.0,5.5,0.735,8.8,1.8,3.7,19.7,Bailey Howell,6-7
1969-70,33.0,BOS,NBA,F,82.0,,25.3,4.9,11.4,0.429,2.9,3.8,0.763,6.7,1.5,3.2,12.6,Bailey Howell,6-7
1970-71,34.0,PHI,NBA,F,82.0,,19.4,4.0,8.4,0.472,2.8,3.8,0.73,5.4,1.4,2.9,10.7,Bailey Howell,6-7
