Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,Player,Ht
1962-63,23.0,SFW,NBA,F-C,66.0,,21.0,2.9,8.3,0.35,,,,2.9,8.3,0.35,0.35,1.6,2.4,0.669,,,5.4,0.8,,,2.7,7.4,Wayne Hightower,6-8
1963-64,24.0,SFW,NBA,F-C,79.0,,32.1,5.0,12.9,0.385,,,,5.0,12.9,0.385,0.385,3.3,4.2,0.79,,,7.2,1.7,,,3.4,13.2,Wayne Hightower,6-8
1964-65,25.0,TOT,NBA,F-C,75.0,,20.6,2.6,7.6,0.344,,,,2.6,7.6,0.344,0.344,2.6,3.4,0.768,,,5.6,0.7,,,2.7,7.8,Wayne Hightower,6-8
1965-66,26.0,BAL,NBA,F-C,24.0,,19.2,2.6,7.8,0.339,,,,2.6,7.8,0.339,0.339,2.4,3.3,0.731,,,5.5,1.5,,,2.5,7.6,Wayne Hightower,6-8
1966-67,27.0,TOT,NBA,F-C,72.0,,18.2,2.7,7.9,0.344,,,,2.7,7.9,0.344,0.344,2.1,2.9,0.729,,,5.6,0.9,,,2.6,7.5,Wayne Hightower,6-8
1967-68,28.0,DNR,ABA,F-C,74.0,,33.2,5.8,15.2,0.383,0.0,0.1,0.0,5.8,15.1,0.385,0.383,5.7,7.3,0.773,,,7.2,1.9,,2.2,3.2,17.3,Wayne Hightower,6-8
1968-69,29.0,DNR,ABA,F-C,67.0,,34.6,4.6,11.4,0.408,0.0,0.0,0.0,4.6,11.3,0.409,0.408,4.6,6.4,0.73,2.3,7.3,9.6,3.0,,2.6,3.6,13.9,Wayne Hightower,6-8
1969-70,30.0,LAS,ABA,F-C,27.0,,35.6,6.7,14.9,0.447,0.0,0.1,0.0,6.7,14.9,0.449,0.447,4.8,6.3,0.759,2.9,6.6,9.4,2.6,,2.7,3.7,18.1,Wayne Hightower,6-8
1970-71,31.0,TOT,ABA,F-C,68.0,,34.6,5.0,12.5,0.4,0.0,0.0,0.0,5.0,12.4,0.401,0.4,3.9,5.3,0.742,3.2,5.8,9.0,2.9,,2.1,3.0,13.9,Wayne Hightower,6-8
1971-72,32.0,CAR,ABA,F-C,13.0,,10.8,1.5,4.9,0.313,0.0,0.2,0.0,1.5,4.8,0.323,0.313,2.3,2.8,0.833,1.3,2.0,3.3,0.8,,0.9,1.5,5.4,Wayne Hightower,6-8
