Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1949-50,24.0,INO,NBA,F,64,,,2.3,7.1,0.32,1.5,2.2,0.69,,2.0,3.4,6.1,Joe Holland,6-4
1950-51,25.0,INO,NBA,F,67,,,2.9,8.9,0.33,1.2,2.0,0.569,5.1,2.2,3.4,7.0,Joe Holland,6-4
1951-52,26.0,INO,NBA,F,55,,13.4,1.7,4.8,0.351,0.7,1.3,0.58,3.0,0.9,1.6,4.1,Joe Holland,6-4
