Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1963-64,23.0,NYK,NBA,C,59,,16.7,1.7,4.2,.413,,,,1.7,4.2,.413,.413,1.4,2.2,.614,,,5.6,0.6,,3.1,4.8,Tom Hoover,6-9
1964-65,24.0,NYK,NBA,C,24,,6.4,0.5,1.3,.406,,,,0.5,1.3,.406,.406,0.3,0.6,.571,,,2.4,0.5,,1.5,1.4,Tom Hoover,6-9
1966-67,26.0,STL,NBA,C,17,,7.6,0.8,1.8,.419,,,,0.8,1.8,.419,.419,0.3,0.8,.385,,,2.1,0.5,,2.1,1.8,Tom Hoover,6-9
1967-68,27.0,DNR,ABA,C,70,,22.7,2.3,5.1,.451,0.1,0.1,.400,2.2,5.0,.452,.457,1.8,2.9,.621,,,7.0,0.9,2.0,3.8,6.5,Tom Hoover,6-9
1968-69,28.0,TOT,ABA,C,53,,26.8,3.6,7.7,.468,0.0,0.0,.000,3.6,7.7,.470,.468,2.4,3.6,.661,2.7,6.2,8.9,2.2,3.2,4.2,9.6,Tom Hoover,6-9
