Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1955-56,26.0,PHW,NBA,G,53.0,,8.4,1.6,4.7,0.344,0.5,0.6,0.813,0.9,0.9,0.7,3.7,Larry Hennessy,6-3
1956-57,27.0,TOT,NBA,G,21.0,,17.8,2.7,8.3,0.32,1.1,1.5,0.719,2.1,1.3,1.3,6.4,Larry Hennessy,6-3
