Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1961-62,23.0,STL,NBA,F,3,,8.3,0.3,4.0,.083,,,,0.3,4.0,.083,.083,0.3,0.7,.500,,,2.0,0.3,,1.3,1.0,Ron Horn,6-7
1962-63,24.0,LAL,NBA,F,28,,10.3,1.0,2.9,.329,,,,1.0,2.9,.329,.329,0.7,1.0,.690,,,2.5,0.4,,1.6,2.6,Ron Horn,6-7
1967-68,29.0,DNR,ABA,F,1,,6.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,2.0,2.0,1.000,,,1.0,0.0,1.0,0.0,2.0,Ron Horn,6-7
