Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1969-70,23.0,DLC,ABA,G,24.0,,9.4,1.5,3.4,0.457,0.3,0.7,0.412,1.3,2.7,0.469,0.5,0.9,1.2,0.759,0.3,0.9,1.3,1.2,0.7,1.8,4.3,Tom Hagan,6-3
1970-71,24.0,TOT,ABA,G,49.0,,14.1,2.0,5.0,0.407,0.2,0.8,0.293,1.8,4.2,0.429,0.431,0.9,1.3,0.683,0.7,1.0,1.7,2.2,1.1,1.6,5.2,Tom Hagan,6-3
