Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1968-69,22.0,SEA,NBA,G,80.0,,32.0,5.2,13.2,0.395,2.0,3.1,0.641,3.8,3.2,4.1,12.4,Art Harris,6-4
1969-70,23.0,TOT,NBA,G,81.0,,19.2,3.5,8.9,0.394,1.1,1.7,0.642,2.0,2.9,2.7,8.1,Art Harris,6-4
1970-71,24.0,PHO,NBA,G,56.0,,17.0,3.6,8.6,0.411,1.2,2.0,0.611,1.8,2.4,2.4,8.3,Art Harris,6-4
1971-72,25.0,PHO,NBA,G,21.0,,6.9,1.1,3.3,0.329,0.4,1.0,0.429,0.6,0.9,1.2,2.6,Art Harris,6-4
