Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,Player,Ht
1969-70,22.0,TOT,ABA,C,75.0,,12.1,2.1,4.4,0.477,0.0,0.0,,2.1,4.4,0.477,0.477,0.8,1.4,0.559,1.6,2.3,3.9,0.9,,1.7,2.9,4.9,Ron Taylor,7-1
1970-71,23.0,VIR,ABA,C,1.0,,25.0,1.0,9.0,0.111,0.0,0.0,,1.0,9.0,0.111,0.111,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,0.0,6.0,2.0,Ron Taylor,7-1
1971-72,24.0,PTC,ABA,C,1.0,,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,5.0,0.0,Ron Taylor,7-1
