Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,23.0,CHZ,NBA,SG,39,,15.1,2.4,6.1,.388,,,,2.4,6.1,.388,.388,1.2,1.7,.727,,,1.7,2.2,,2.2,5.9
1963-64,24.0,Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL),Did Not Play (other pro league—EPBL)
1964-65,25.0,Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL)
1965-66,26.0,Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL)
1966-67,27.0,Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL),Did Not Play (other pro league—NABL)
1967-68,28.0,NJA,ABA,PG,76,,20.5,3.6,8.9,.402,0.1,0.4,.281,3.5,8.5,.408,.409,2.3,2.8,.826,,,2.5,2.0,1.9,2.5,9.6
Career,,,TOT,,115,,18.6,3.2,8.0,.398,0.1,0.4,.281,3.1,7.7,.403,.403,1.9,2.4,.803,,,2.3,2.1,1.9,2.4,8.4
,,,ABA,,76,,20.5,3.6,8.9,.402,0.1,0.4,.281,3.5,8.5,.408,.409,2.3,2.8,.826,,,2.5,2.0,1.9,2.5,9.6
,,,NBA,,39,,15.1,2.4,6.1,.388,,,,2.4,6.1,.388,.388,1.2,1.7,.727,,,1.7,2.2,,2.2,5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,NJA,ABA,,76,,20.5,3.6,8.9,.402,0.1,0.4,.281,3.5,8.5,.408,.409,2.3,2.8,.826,,,2.5,2.0,1.9,2.5,9.6
1 season,,CHZ,NBA,,39,,15.1,2.4,6.1,.388,,,,2.4,6.1,.388,.388,1.2,1.7,.727,,,1.7,2.2,,2.2,5.9
