Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,25.0,WSC,BAA,,60,,,3.7,11.6,0.319,3.0,4.6,0.652,,0.8,2.0,10.4
1947-48,26.0,WSC,BAA,,48,,,3.5,11.3,0.308,2.8,3.8,0.742,,0.9,2.1,9.8
1948-49,27.0,WSC,BAA,,60,,,2.7,7.6,0.361,1.9,2.9,0.678,,1.4,2.1,7.4
1949-50,28.0,WSC,NBA,,40,,,2.5,7.3,0.338,1.3,2.1,0.624,,0.8,1.8,6.3
1950-51,29.0,WSC,NBA,,9,,,0.7,1.8,0.375,1.0,1.6,0.643,1.0,0.6,1.6,2.3
Career,,,TOT,,217,,,3.0,9.2,0.329,2.3,3.4,0.677,1.0,1.0,2.0,8.3
,,,BAA,,168,,,3.3,10.1,0.327,2.6,3.7,0.685,,1.1,2.1,9.2
,,,NBA,,49,,,2.1,6.3,0.34,1.3,2.0,0.626,1.0,0.8,1.7,5.6
