Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,27.0,SYR,NBA,PF,62.0,,,2.6,7.1,0.369,3.4,5.6,0.606,,2.0,3.2,8.6
1950-51,28.0,SYR,NBA,PF,66.0,,,4.0,9.6,0.415,4.9,6.7,0.731,8.3,2.9,3.9,12.9
1951-52,29.0,SYR,NBA,PF,66.0,,20.5,2.5,7.2,0.349,2.5,3.7,0.674,5.0,1.4,3.6,7.5
1952-53,30.0,TOT,NBA,PF,71.0,,31.5,2.9,8.7,0.336,3.7,5.3,0.702,7.4,3.1,4.0,9.5
1952-53,30.0,BLB,NBA,PF,10.0,,19.7,1.6,4.3,0.372,1.9,3.7,0.514,5.2,1.8,3.3,5.1
1952-53,30.0,MLH,NBA,PF,61.0,,33.4,3.1,9.4,0.333,4.0,5.5,0.723,7.7,3.3,4.2,10.3
1953-54,31.0,MLH,NBA,PF,69.0,,31.4,2.9,7.3,0.393,2.6,4.0,0.645,7.6,2.2,3.7,8.3
1954-55,32.0,MLH,NBA,PF,9.0,,11.3,0.3,2.1,0.158,1.1,2.6,0.435,1.9,1.4,1.7,1.8
Career,,,NBA,,343.0,,27.3,2.9,7.8,0.372,3.3,5.0,0.673,6.9,2.3,3.6,9.2
,,,,,,,,,,,,,,,,,
3 seasons,,SYR,NBA,,194.0,,20.5,3.0,8.0,0.382,3.6,5.3,0.675,6.6,2.1,3.6,9.7
3 seasons,,MLH,NBA,,139.0,,31.0,2.8,7.9,0.358,3.1,4.5,0.679,7.3,2.6,3.8,8.7
1 season,,BLB,NBA,,10.0,,19.7,1.6,4.3,0.372,1.9,3.7,0.514,5.2,1.8,3.3,5.1
