Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1955-56,22.0,TOT,NBA,PF,68,,28.6,3.5,11.1,.313,2.0,2.9,.708,7.2,3.0,4.2,8.9
1955-56,22.0,STL,NBA,PF,29,,26.8,3.2,10.4,.312,1.9,2.7,.705,6.8,2.8,4.0,8.4
1955-56,22.0,ROC,NBA,PF,39,,29.9,3.6,11.6,.313,2.1,3.0,.709,7.5,3.2,4.4,9.4
1956-57,23.0,ROC,NBA,C,72,,29.4,4.2,12.1,.344,2.9,4.1,.694,6.1,1.8,4.3,11.2
1957-58,24.0,CIN,NBA,PF,72,,22.5,3.0,9.2,.324,1.8,2.7,.673,5.7,1.6,3.8,7.8
1958-59,25.0,Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals),Did Not Play (Major League Baseball—St. Louis Cardinals)
Career,,,NBA,,212,,26.8,3.5,10.8,.328,2.2,3.2,.692,6.3,2.1,4.1,9.3
,,,,,,,,,,,,,,,,,
3 seasons,,"ROC,CIN",NBA,,183,,26.8,3.6,10.8,.330,2.3,3.3,.690,6.2,2.0,4.1,9.5
1 season,,STL,NBA,,29,,26.8,3.2,10.4,.312,1.9,2.7,.705,6.8,2.8,4.0,8.4
