Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22.0,STL,NBA,SG,77.0,,24.0,3.8,9.2,0.417,,,,3.8,9.2,0.417,0.417,2.4,3.4,0.72,,,3.4,3.3,,2.6,10.1
1963-64,23.0,STL,NBA,SG,68.0,,19.7,3.5,7.9,0.442,,,,3.5,7.9,0.442,0.442,1.6,2.2,0.723,,,1.9,1.9,,2.4,8.6
1964-65,24.0,STL,NBA,SG,75.0,,26.2,4.6,10.8,0.424,,,,4.6,10.8,0.424,0.424,2.4,3.2,0.752,,,2.3,2.1,,2.6,11.6
1965-66,25.0,TOT,NBA,PG,56.0,,21.8,3.3,8.5,0.384,,,,3.3,8.5,0.384,0.384,1.9,2.6,0.736,,,1.9,2.5,,1.8,8.4
1965-66,25.0,STL,NBA,PG,19.0,,23.4,3.8,10.1,0.375,,,,3.8,10.1,0.375,0.375,2.4,3.3,0.742,,,2.4,1.9,,2.1,10.0
1965-66,25.0,DET,NBA,PG,37.0,,20.9,3.0,7.6,0.39,,,,3.0,7.6,0.39,0.39,1.6,2.2,0.732,,,1.7,2.8,,1.6,7.6
1966-67,26.0,DET,NBA,SG,51.0,,13.3,1.7,4.4,0.376,,,,1.7,4.4,0.376,0.376,1.0,1.5,0.676,,,1.3,1.5,,1.1,4.3
1967-68,27.0,PTP,ABA,SG,74.0,,38.6,6.9,18.2,0.379,1.9,5.5,0.334,5.1,12.7,0.399,0.43,4.2,5.6,0.74,,,4.0,1.9,2.3,2.7,19.9
1968-69,28.0,MNP,ABA,SG,69.0,,33.3,6.0,17.0,0.355,2.1,7.6,0.277,3.9,9.4,0.417,0.417,3.7,4.8,0.769,0.6,1.8,2.4,1.6,2.2,2.6,17.8
1969-70,29.0,PTP,ABA,SG,21.0,,19.1,3.1,8.6,0.367,1.1,3.9,0.293,2.0,4.7,0.429,0.433,2.3,3.3,0.686,0.8,0.5,1.3,1.0,1.1,2.5,9.7
Career,,,TOT,,491.0,,25.7,4.4,11.1,0.392,1.9,6.2,0.301,3.7,9.0,0.412,0.42,2.5,3.4,0.738,0.7,1.5,2.5,2.1,2.1,2.3,11.9
,,,NBA,,327.0,,21.6,3.5,8.4,0.415,,,,3.5,8.4,0.415,0.415,1.9,2.7,0.728,,,2.2,2.3,,2.2,8.9
,,,ABA,,164.0,,33.9,6.1,16.5,0.368,1.9,6.2,0.301,4.2,10.3,0.408,0.424,3.7,5.0,0.747,0.7,1.5,3.0,1.7,2.1,2.6,17.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,STL,NBA,,239.0,,23.4,4.0,9.4,0.422,,,,4.0,9.4,0.422,0.422,2.2,3.0,0.734,,,2.5,2.4,,2.5,10.1
3 seasons,,"PTP,MNP",ABA,,164.0,,33.9,6.1,16.5,0.368,1.9,6.2,0.301,4.2,10.3,0.408,0.424,3.7,5.0,0.747,0.7,1.5,3.0,1.7,2.1,2.6,17.7
2 seasons,,DET,NBA,,88.0,,16.5,2.2,5.8,0.384,,,,2.2,5.8,0.384,0.384,1.3,1.8,0.705,,,1.5,2.0,,1.3,5.7
