Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1955-56,23.0,PHW,NBA,G-F,68,,34.5,3.6,8.7,.412,3.6,4.9,.733,9.1,5.9,4.0,10.8,Tom Gola,6-6
1957-58,25.0,PHW,NBA,G-F,59,,36.0,5.0,12.1,.415,3.8,5.1,.746,10.8,5.5,3.8,13.8,Tom Gola,6-6
1958-59,26.0,PHW,NBA,G-F,64,,36.5,4.8,12.1,.401,4.4,5.6,.787,11.1,4.2,3.8,14.1,Tom Gola,6-6
1959-60,27.0,PHW,NBA,G-F,75,,38.3,5.7,13.1,.433,3.6,4.5,.794,10.4,5.5,4.1,15.0,Tom Gola,6-6
1960-61,28.0,PHW,NBA,G-F,74,,36.6,5.7,12.7,.447,2.8,3.8,.747,9.4,3.9,4.3,14.2,Tom Gola,6-6
1961-62,29.0,PHW,NBA,G-F,60,,41.0,5.4,12.8,.421,2.9,3.8,.765,9.8,4.9,4.5,13.7,Tom Gola,6-6
1962-63,30.0,TOT,NBA,G-F,73,,36.6,5.0,10.8,.459,2.3,3.0,.776,7.1,4.1,4.0,12.3,Tom Gola,6-6
1963-64,31.0,NYK,NBA,G-F,74,,29.1,3.5,8.1,.429,2.1,2.9,.726,6.3,3.5,3.8,9.1,Tom Gola,6-6
1964-65,32.0,NYK,NBA,G-F,77,,22.4,2.6,5.9,.448,1.7,2.3,.739,4.1,2.9,3.5,7.0,Tom Gola,6-6
1965-66,33.0,NYK,NBA,G-F,74,,15.2,1.6,3.7,.450,1.1,1.4,.781,3.9,2.6,2.8,4.4,Tom Gola,6-6
