Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1966-67,22.0,PHI,NBA,G-F,69.0,,11.7,1.1,2.9,0.389,0.7,1.2,0.605,,,1.2,1.5,,,1.2,3.0,Matt Guokas,6-5
1967-68,23.0,PHI,NBA,G-F,82.0,,19.7,2.3,4.8,0.483,1.4,1.9,0.776,,,2.3,2.3,,,2.1,6.1,Matt Guokas,6-5
1968-69,24.0,PHI,NBA,G-F,72.0,,11.6,1.3,3.0,0.426,0.8,1.1,0.667,,,1.3,1.4,,,1.7,3.3,Matt Guokas,6-5
1969-70,25.0,PHI,NBA,G-F,80.0,,19.5,2.4,5.2,0.454,1.3,1.9,0.711,,,2.7,2.8,,,2.5,6.1,Matt Guokas,6-5
1970-71,26.0,TOT,NBA,G-F,79.0,,28.0,2.6,5.3,0.493,1.3,1.7,0.732,,,2.0,4.3,,,2.4,6.5,Matt Guokas,6-5
1971-72,27.0,CIN,NBA,G-F,61.0,,32.4,3.1,6.3,0.496,1.0,1.4,0.771,,,2.3,5.3,,,2.5,7.3,Matt Guokas,6-5
1972-73,28.0,KCO,NBA,G-F,79.0,,36.0,4.1,7.2,0.57,0.9,1.1,0.822,,,3.1,5.1,,,2.4,9.1,Matt Guokas,6-5
1973-74,29.0,TOT,NBA,G-F,75.0,,24.9,2.6,5.3,0.492,0.5,0.8,0.65,0.4,1.2,1.6,3.2,0.7,0.3,2.0,5.7,Matt Guokas,6-5
1974-75,30.0,CHI,NBA,G-F,82.0,,25.5,3.1,6.1,0.51,1.0,1.3,0.757,0.3,1.4,1.7,2.2,0.5,0.2,1.9,7.2,Matt Guokas,6-5
1975-76,31.0,TOT,NBA,G-F,56.0,,14.2,1.3,3.1,0.422,0.3,0.5,0.667,0.4,0.7,1.1,1.3,0.3,0.1,1.4,2.9,Matt Guokas,6-5
