Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1965-66,22.0,LAL,NBA,G,65.0,,15.5,3.1,7.7,0.404,1.6,2.3,0.691,,,2.0,1.6,,,,1.6,7.8,Gail Goodrich,6-1
1966-67,23.0,LAL,NBA,G,77.0,,23.1,4.6,10.1,0.454,3.3,4.4,0.751,,,3.3,2.7,,,,2.5,12.4,Gail Goodrich,6-1
1967-68,24.0,LAL,NBA,G,79.0,,26.0,5.0,10.3,0.486,3.8,5.0,0.77,,,2.5,2.6,,,,2.9,13.8,Gail Goodrich,6-1
1968-69,25.0,PHO,NBA,G,81.0,,40.0,8.9,21.6,0.411,6.1,8.2,0.747,,,5.4,6.4,,,,3.1,23.8,Gail Goodrich,6-1
1969-70,26.0,PHO,NBA,G,81.0,,39.9,7.0,15.4,0.454,6.0,7.5,0.808,,,4.2,7.5,,,,3.1,20.0,Gail Goodrich,6-1
1970-71,27.0,LAL,NBA,G,79.0,,35.5,7.1,14.9,0.475,3.3,4.3,0.77,,,3.3,4.8,,,,3.3,17.5,Gail Goodrich,6-1
1971-72,28.0,LAL,NBA,G,82.0,,37.1,10.1,20.7,0.487,5.8,6.8,0.85,,,3.6,4.5,,,,2.6,25.9,Gail Goodrich,6-1
1972-73,29.0,LAL,NBA,G,76.0,,35.5,9.9,21.3,0.464,4.1,4.9,0.84,,,3.5,4.4,,,,2.5,23.9,Gail Goodrich,6-1
1973-74,30.0,LAL,NBA,G,82.0,,37.3,9.6,21.6,0.442,6.2,7.2,0.864,1.2,1.9,3.0,5.2,1.5,0.1,,2.8,25.3,Gail Goodrich,6-1
1974-75,31.0,LAL,NBA,G,72.0,,37.1,9.1,19.8,0.459,4.4,5.3,0.841,1.3,1.7,3.0,5.8,1.4,0.1,,3.0,22.6,Gail Goodrich,6-1
1975-76,32.0,LAL,NBA,G,75.0,,35.3,7.8,17.6,0.441,3.9,4.6,0.847,1.3,1.6,2.9,5.6,1.6,0.2,,3.2,19.5,Gail Goodrich,6-1
1976-77,33.0,NOJ,NBA,G,27.0,,22.6,5.0,11.3,0.446,2.5,3.1,0.8,0.9,1.3,2.3,2.7,0.8,0.1,,1.6,12.6,Gail Goodrich,6-1
1977-78,34.0,NOJ,NBA,G,81.0,,31.5,6.4,13.0,0.495,3.3,4.1,0.795,0.9,1.3,2.2,4.8,1.0,0.3,2.5,2.3,16.1,Gail Goodrich,6-1
1978-79,35.0,NOJ,NBA,G,74.0,,28.8,5.2,11.5,0.449,2.4,2.8,0.853,0.9,1.6,2.5,4.8,1.2,0.2,2.5,2.4,12.7,Gail Goodrich,6-1
