Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24.0,MNM,ABA,PG,67.0,,31.7,5.1,13.1,0.386,0.9,2.7,0.348,4.1,10.4,0.396,0.421,1.8,2.7,0.659,,,3.3,2.1,2.5,2.3,12.8
1968-69,25.0,TOT,ABA,"PG,SG",74.0,,32.2,5.4,14.3,0.379,0.9,2.6,0.349,4.5,11.7,0.386,0.411,2.9,3.9,0.726,1.1,2.1,3.3,3.3,2.7,3.4,14.6
1968-69,25.0,MMF,ABA,PG,24.0,,29.5,4.2,12.5,0.334,0.5,1.8,0.273,3.7,10.6,0.345,0.355,2.6,3.8,0.681,1.1,1.9,3.0,2.6,2.5,2.8,11.4
1968-69,25.0,NYA,ABA,SG,23.0,,35.3,7.2,18.5,0.388,1.0,2.5,0.386,6.2,16.0,0.389,0.414,4.0,5.7,0.702,1.4,2.7,4.1,3.7,3.2,3.5,19.3
1968-69,25.0,INA,ABA,SG,27.0,,32.0,5.1,12.4,0.408,1.2,3.4,0.363,3.9,9.1,0.424,0.457,2.1,2.6,0.829,0.9,1.8,2.7,3.6,2.5,4.0,13.5
1969-70,26.0,TOT,ABA,SG,46.0,,11.3,2.3,5.9,0.382,0.2,0.8,0.286,2.0,5.2,0.397,0.401,1.5,2.1,0.711,0.5,0.6,1.2,0.8,1.1,1.7,6.2
1969-70,26.0,CAR,ABA,,19.0,,11.6,2.2,5.4,0.408,0.1,0.5,0.2,2.1,4.9,0.43,0.417,1.7,2.3,0.744,0.2,0.7,0.9,0.9,1.0,1.8,6.2
1969-70,26.0,NOB,ABA,SG,27.0,,11.1,2.3,6.3,0.367,0.3,0.9,0.32,2.0,5.3,0.375,0.391,1.4,2.0,0.685,0.7,0.6,1.3,0.7,1.2,1.6,6.3
Career,,,ABA,,187.0,,26.9,4.5,11.8,0.382,0.7,2.2,0.343,3.8,9.7,0.391,0.414,2.1,3.0,0.702,0.9,1.6,2.8,2.2,2.3,2.6,11.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,"MNM,MMF",ABA,,91.0,,31.1,4.8,12.9,0.373,0.8,2.4,0.333,4.0,10.5,0.382,0.404,2.0,3.0,0.667,1.1,1.9,3.3,2.2,2.5,2.4,12.4
1 season,,INA,ABA,,27.0,,32.0,5.1,12.4,0.408,1.2,3.4,0.363,3.9,9.1,0.424,0.457,2.1,2.6,0.829,0.9,1.8,2.7,3.6,2.5,4.0,13.5
1 season,,NOB,ABA,,27.0,,11.1,2.3,6.3,0.367,0.3,0.9,0.32,2.0,5.3,0.375,0.391,1.4,2.0,0.685,0.7,0.6,1.3,0.7,1.2,1.6,6.3
1 season,,NYA,ABA,,23.0,,35.3,7.2,18.5,0.388,1.0,2.5,0.386,6.2,16.0,0.389,0.414,4.0,5.7,0.702,1.4,2.7,4.1,3.7,3.2,3.5,19.3
1 season,,CAR,ABA,,19.0,,11.6,2.2,5.4,0.408,0.1,0.5,0.2,2.1,4.9,0.43,0.417,1.7,2.3,0.744,0.2,0.7,0.9,0.9,1.0,1.8,6.2
