Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,25.0,CHS,BAA,,32.0,,,4.5,13.3,0.336,1.9,3.2,0.583,,2.3,2.3,10.8
1948-49,26.0,CHS,BAA,,60.0,,,4.8,13.6,0.348,2.5,3.7,0.676,,5.3,3.4,12.0
1949-50,27.0,CHS,NBA,,65.0,,,4.4,12.5,0.349,2.9,4.2,0.704,,5.8,3.2,11.7
1950-51,28.0,PHW,NBA,,66.0,,,4.2,10.5,0.399,2.9,3.8,0.751,6.8,6.3,3.3,11.2
1951-52,29.0,PHW,NBA,SG,66.0,,44.4,4.2,11.5,0.366,3.5,4.7,0.753,6.6,8.2,3.3,12.0
1952-53,30.0,TOT,NBA,"PG,SG",70.0,,38.4,3.6,9.0,0.397,3.2,4.3,0.738,5.2,5.7,3.3,10.3
1952-53,30.0,PHW,NBA,PG,13.0,,41.8,3.7,9.5,0.387,4.5,5.8,0.763,6.6,8.5,3.7,11.8
1952-53,30.0,FTW,NBA,SG,57.0,,37.7,3.5,8.9,0.4,2.9,3.9,0.729,4.9,5.0,3.2,10.0
1953-54,31.0,FTW,NBA,PG,71.0,,38.1,3.6,9.6,0.375,3.4,4.6,0.73,3.7,6.3,2.9,10.6
1954-55,32.0,FTW,NBA,PG,64.0,,36.4,3.2,8.5,0.371,3.3,4.8,0.692,4.5,7.7,2.6,9.6
1955-56,33.0,FTW,NBA,PG,70.0,,29.7,2.1,5.8,0.365,1.6,2.8,0.563,3.7,5.9,2.2,5.8
1956-57,34.0,BOS,NBA,PG,67.0,,22.0,1.6,4.1,0.379,1.3,2.0,0.642,2.7,2.5,1.8,4.4
1957-58,35.0,BOS,NBA,PG,70.0,,16.6,1.4,3.9,0.355,0.6,1.0,0.592,2.3,1.7,1.7,3.4
Career,,,TOT,,701.0,,32.2,3.3,9.0,0.368,2.5,3.6,0.695,4.4,5.4,2.7,9.1
,,,NBA,,609.0,,32.2,3.1,8.3,0.373,2.5,3.6,0.703,4.4,5.5,2.7,8.7
,,,BAA,,92.0,,,4.7,13.5,0.344,2.3,3.5,0.646,,4.3,3.0,11.6
,,,,,,,,,,,,,,,,,
4 seasons,,FTW,NBA,,262.0,,35.4,3.1,8.1,0.378,2.8,4.1,0.687,4.2,6.2,2.7,8.9
3 seasons,,CHS,BAA,,157.0,,,4.5,13.1,0.346,2.5,3.8,0.672,,4.9,3.1,11.6
3 seasons,,PHW,NBA,,145.0,,44.0,4.2,10.9,0.382,3.3,4.4,0.754,6.7,7.3,3.4,11.6
2 seasons,,BOS,NBA,,137.0,,19.3,1.5,4.0,0.367,0.9,1.5,0.625,2.5,2.1,1.8,3.9
