Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1951-52,22.0,Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines)
1952-53,23.0,Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines),Did Not Play (military service—U.S. Marines)
1953-54,24.0,PHW,NBA,,4,,8.3,0.0,1.5,.000,0.8,1.5,.500,1.3,0.5,2.3,0.8
Career,,,NBA,,4,,8.3,0.0,1.5,.000,0.8,1.5,.500,1.3,0.5,2.3,0.8
