Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23.0,CLE,NBA,C,65,,11.9,1.4,4.0,.357,0.4,0.7,.500,,,3.5,0.8,,,1.2,3.2
1972-73,24.0,CLE,NBA,C,62,,11.5,1.1,3.2,.359,0.5,1.0,.523,,,3.7,0.8,,,1.3,2.8
1973-74,25.0,CLE,NBA,C,76,,25.1,3.4,7.9,.437,0.9,1.5,.616,2.9,5.2,8.1,2.2,0.6,0.8,2.5,7.8
1974-75,26.0,CLE,NBA,C,81,,15.7,2.0,4.8,.416,0.6,0.9,.658,1.4,2.7,4.1,1.1,0.3,0.2,1.6,4.6
1975-76,27.0,TOT,NBA,C,66,,13.9,1.3,3.3,.382,0.5,0.8,.630,1.2,2.2,3.5,1.2,0.2,0.2,1.4,3.1
1975-76,27.0,CLE,NBA,C,14,,9.7,1.1,2.7,.395,0.6,0.7,.800,0.5,1.5,2.0,0.6,0.2,0.4,0.8,2.7
1975-76,27.0,CHI,NBA,C,52,,15.0,1.3,3.5,.379,0.5,0.8,.591,1.4,2.4,3.8,1.4,0.3,0.2,1.6,3.2
1976-77,28.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
Career,,,NBA,,350,,15.9,1.9,4.8,.403,0.6,1.0,.594,1.9,3.4,4.7,1.3,0.4,0.4,1.6,4.4
,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CLE,NBA,,298,,16.1,2.0,5.0,.406,0.6,1.0,.595,2.0,3.7,4.8,1.2,0.4,0.5,1.6,4.7
1 season,,CHI,NBA,,52,,15.0,1.3,3.5,.379,0.5,0.8,.591,1.4,2.4,3.8,1.4,0.3,0.2,1.6,3.2
