Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,23.0,TOT,NBA,SG,52,,,1.9,6.4,.296,2.3,3.3,.699,,1.7,2.2,6.1
1949-50,23.0,PHW,NBA,SG,17,,,0.7,1.9,.375,0.8,1.2,.619,,0.5,1.1,2.2
1949-50,23.0,WAT,NBA,SG,35,,,2.5,8.5,.288,3.1,4.3,.711,,2.2,2.7,8.0
1950-51,24.0,Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL)
1951-52,25.0,Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL)
1952-53,26.0,MLH,NBA,SG,68,,21.6,1.9,5.5,.343,2.6,3.6,.726,1.7,2.1,2.9,6.4
Career,,,NBA,,120,,21.6,1.9,5.9,.321,2.5,3.5,.715,1.7,1.9,2.6,6.3
,,,,,,,,,,,,,,,,,
1 season,,MLH,NBA,,68,,21.6,1.9,5.5,.343,2.6,3.6,.726,1.7,2.1,2.9,6.4
1 season,,WAT,NBA,,35,,,2.5,8.5,.288,3.1,4.3,.711,,2.2,2.7,8.0
1 season,,PHW,NBA,,17,,,0.7,1.9,.375,0.8,1.2,.619,,0.5,1.1,2.2
