Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,27.0,WSC,BAA,,43,,,1.2,5.1,.231,0.4,0.7,.563,,0.2,1.0,2.8
1947-48,28.0,Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA),Did Not Play (other pro league—PBLA)
1948-49,29.0,INJ,BAA,,10,,,1.4,5.7,.246,0.3,0.4,.750,,1.7,1.7,3.1
Career,,,BAA,,53,,,1.2,5.2,.234,0.4,0.7,.583,,0.5,1.2,2.8
,,,,,,,,,,,,,,,,,
1 season,,WSC,BAA,,43,,,1.2,5.1,.231,0.4,0.7,.563,,0.2,1.0,2.8
1 season,,INJ,BAA,,10,,,1.4,5.7,.246,0.3,0.4,.750,,1.7,1.7,3.1
