Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1960-61,22.0,STL,NBA,G-F,55.0,,13.1,2.2,5.4,0.417,1.1,1.5,0.75,3.2,1.5,1.3,5.6,Fred LaCour,6-5
1961-62,23.0,STL,NBA,G-F,73.0,,20.6,3.2,7.3,0.429,1.5,1.8,0.815,3.7,2.3,2.3,7.8,Fred LaCour,6-5
