Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1966-67,24.0,CIN,NBA,F,66.0,,16.3,2.6,6.1,0.429,1.4,2.2,0.633,,,3.9,0.7,,,2.3,6.7,Bob Love,6-8
1967-68,25.0,CIN,NBA,F,72.0,,14.8,2.7,6.3,0.424,1.1,1.6,0.684,,,2.9,0.8,,,2.0,6.4,Bob Love,6-8
1968-69,26.0,TOT,NBA,F,49.0,,11.1,2.2,5.6,0.397,1.4,2.0,0.74,,,3.1,0.3,,,1.2,5.9,Bob Love,6-8
1969-70,27.0,CHI,NBA,F,82.0,,38.1,7.8,16.7,0.466,5.4,6.4,0.842,,,8.7,1.8,,,3.2,21.0,Bob Love,6-8
1970-71,28.0,CHI,NBA,F,81.0,,43.0,9.4,21.1,0.447,6.3,7.6,0.829,,,8.5,2.3,,,3.2,25.2,Bob Love,6-8
1971-72,29.0,CHI,NBA,F,79.0,,39.3,10.4,23.5,0.442,5.1,6.4,0.784,,,6.6,1.6,,,3.0,25.8,Bob Love,6-8
1972-73,30.0,CHI,NBA,F,82.0,,37.0,9.4,21.9,0.431,4.2,5.1,0.824,,,6.5,1.5,,,2.9,23.1,Bob Love,6-8
1973-74,31.0,CHI,NBA,F,82.0,,40.1,8.9,21.4,0.417,3.9,4.8,0.818,2.2,3.8,6.0,1.6,1.0,0.3,2.7,21.8,Bob Love,6-8
1974-75,32.0,CHI,NBA,F,61.0,,39.4,8.8,20.6,0.429,4.3,5.2,0.83,1.6,4.7,6.3,1.7,1.0,0.2,3.4,22.0,Bob Love,6-8
1975-76,33.0,CHI,NBA,F,76.0,,37.1,7.1,18.3,0.39,4.8,5.9,0.801,2.5,4.2,6.7,1.9,0.8,0.1,3.1,19.1,Bob Love,6-8
1976-77,34.0,TOT,NBA,F,59.0,,19.9,2.7,7.3,0.379,1.8,2.2,0.826,1.3,2.0,3.4,0.8,0.4,0.1,2.0,7.3,Bob Love,6-8
