Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1962-63,22.0,DET,NBA,G,57.0,,14.8,2.6,7.0,0.368,1.2,1.8,0.71,1.9,1.8,2.4,6.4,Kevin Loughery,6-3
1963-64,23.0,TOT,NBA,G,66.0,,22.1,3.6,9.6,0.374,1.9,2.7,0.712,2.1,2.8,2.7,9.1,Kevin Loughery,6-3
1964-65,24.0,BAL,NBA,G,80.0,,30.2,5.1,12.0,0.424,2.7,3.5,0.754,2.9,3.7,4.0,12.8,Kevin Loughery,6-3
1965-66,25.0,BAL,NBA,G,74.0,,33.2,7.1,17.1,0.416,4.0,4.8,0.83,3.1,4.8,3.7,18.2,Kevin Loughery,6-3
1966-67,26.0,BAL,NBA,G,76.0,,33.9,6.8,17.2,0.398,4.5,5.4,0.825,4.6,3.8,3.9,18.2,Kevin Loughery,6-3
1967-68,27.0,BAL,NBA,G,77.0,,29.8,5.9,14.6,0.406,4.0,5.1,0.778,3.2,3.3,3.9,15.9,Kevin Loughery,6-3
1968-69,28.0,BAL,NBA,G,80.0,,39.2,9.0,20.5,0.438,4.7,5.8,0.803,3.3,4.8,3.7,22.6,Kevin Loughery,6-3
1969-70,29.0,BAL,NBA,G,55.0,,37.0,8.7,19.7,0.441,4.6,5.4,0.849,3.1,5.3,3.3,21.9,Kevin Loughery,6-3
1970-71,30.0,BAL,NBA,G,82.0,,27.6,5.9,14.5,0.403,3.4,4.0,0.831,2.7,3.7,3.0,15.1,Kevin Loughery,6-3
1971-72,31.0,TOT,NBA,G,76.0,,23.3,4.5,10.6,0.422,3.5,4.2,0.822,2.4,2.6,2.8,12.4,Kevin Loughery,6-3
1972-73,32.0,PHI,NBA,G,32.0,,29.8,5.3,13.3,0.396,3.3,4.1,0.823,3.5,4.6,3.3,13.9,Kevin Loughery,6-3
