Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,22.0,NYK,NBA,SG,44.0,,6.2,1.0,2.5,0.407,0.5,0.8,0.686,,,0.9,0.7,,,1.2,2.5
1970-71,23.0,CLE,NBA,PG,82.0,,31.8,4.6,11.0,0.423,2.2,2.6,0.829,,,4.2,4.2,,,3.6,11.5
1971-72,24.0,CLE,NBA,SG,68.0,,14.3,2.1,5.1,0.417,0.7,0.9,0.845,,,2.0,1.3,,,1.4,5.0
1972-73,25.0,CLE,NBA,SG,40.0,,7.3,1.4,2.8,0.486,0.5,0.5,0.947,,,1.1,0.9,,,1.1,3.2
1973-74,26.0,CLE,NBA,SG,69.0,,11.4,1.9,4.2,0.454,0.5,0.6,0.854,0.6,1.2,1.9,0.9,0.4,0.1,1.7,4.3
Career,,,NBA,,303.0,,16.3,2.5,5.8,0.43,1.0,1.2,0.827,0.6,1.2,2.3,1.9,0.4,0.1,2.0,6.0
,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CLE,NBA,,259.0,,18.0,2.7,6.4,0.431,1.1,1.3,0.842,0.6,1.2,2.5,2.1,0.4,0.1,2.1,6.6
1 season,,NYK,NBA,,44.0,,6.2,1.0,2.5,0.407,0.5,0.8,0.686,,,0.9,0.7,,,1.2,2.5
