Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,24.0,NOP,NBA,SF,46.0,29.0,23.5,2.3,6.1,0.384,1.1,3.4,0.333,1.2,2.7,0.447,0.477,0.3,0.4,0.684,1.2,3.6,4.8,1.8,1.0,0.4,0.8,2.1,6.1
2019-20,25.0,NOP,NBA,PF,39.0,18.0,21.3,1.3,3.8,0.347,0.6,2.5,0.258,0.7,1.3,0.52,0.432,0.2,0.7,0.346,1.3,3.5,4.8,1.5,0.7,0.5,0.6,2.3,3.5
2020-21,26.0,OKC,NBA,PF,66.0,13.0,21.6,3.3,6.2,0.533,0.8,1.8,0.444,2.5,4.5,0.568,0.596,0.5,1.0,0.571,1.3,2.9,4.1,2.3,0.8,0.3,1.2,2.2,8.0
2021-22,27.0,OKC,NBA,SF,49.0,0.0,21.9,3.0,6.5,0.461,0.8,2.5,0.339,2.1,4.0,0.536,0.525,0.6,1.1,0.545,1.5,3.0,4.5,2.2,0.9,0.2,0.9,1.7,7.4
2022-23,28.0,OKC,NBA,PF,53.0,10.0,22.8,3.4,6.5,0.517,0.9,2.5,0.373,2.4,4.0,0.608,0.59,0.3,0.7,0.436,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0
Career,,,NBA,,253.0,70.0,22.2,2.8,5.9,0.468,0.9,2.5,0.352,1.9,3.5,0.551,0.541,0.4,0.8,0.52,1.4,3.2,4.6,2.0,0.9,0.3,0.8,2.1,6.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,168.0,23.0,22.0,3.2,6.4,0.507,0.9,2.2,0.384,2.4,4.2,0.571,0.573,0.5,0.9,0.529,1.5,3.0,4.5,2.2,0.9,0.2,0.9,2.0,7.8
2 seasons,,NOP,NBA,,85.0,47.0,22.5,1.9,5.0,0.371,0.9,3.0,0.304,1.0,2.0,0.468,0.461,0.3,0.5,0.489,1.2,3.5,4.8,1.6,0.8,0.5,0.7,2.2,4.9
