Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22.0,PHI,NBA,PG,79.0,,20.6,3.1,7.2,0.429,2.0,2.6,0.757,,,1.9,2.9,,,,2.9,8.1
1972-73,23.0,TOT,NBA,PG,78.0,,24.8,3.3,7.3,0.447,1.3,1.7,0.774,,,1.4,4.2,,,,2.9,7.8
1972-73,23.0,POR,NBA,PG,22.0,,17.9,2.1,5.2,0.412,1.1,1.5,0.727,,,0.9,3.1,,,,2.0,5.4
1972-73,23.0,BUF,NBA,PG,56.0,,27.5,3.7,8.1,0.456,1.4,1.8,0.79,,,1.6,4.6,,,,3.3,8.8
1973-74,24.0,TOT,NBA,PG,67.0,,15.7,1.8,4.1,0.437,1.1,1.5,0.735,0.2,0.5,0.7,3.5,1.1,0.0,,2.0,4.7
1973-74,24.0,BUF,NBA,PG,41.0,,14.8,1.5,3.7,0.4,1.0,1.5,0.7,0.2,0.5,0.7,3.1,0.8,0.0,,1.8,4.0
1973-74,24.0,HOU,NBA,PG,26.0,,17.3,2.3,4.9,0.48,1.3,1.6,0.786,0.2,0.5,0.7,4.2,1.7,0.0,,2.5,6.0
1974-75,25.0,HOU,NBA,PG,75.0,,23.0,2.7,6.2,0.439,1.1,1.4,0.745,0.3,1.1,1.5,4.5,1.0,0.1,,2.5,6.5
1975-76,26.0,HOU,NBA,PG,50.0,,14.0,1.3,3.3,0.405,0.8,1.0,0.776,0.2,0.9,1.1,2.2,0.5,0.0,,2.2,3.4
1976-77,27.0,TOT,NBA,PG,51.0,,19.3,2.3,5.7,0.4,1.2,1.7,0.685,0.3,1.3,1.6,2.8,0.8,0.1,,2.3,5.7
1976-77,27.0,HOU,NBA,PG,14.0,,4.4,0.5,1.2,0.412,0.3,0.3,1.0,0.1,0.3,0.4,1.1,0.0,0.0,,1.3,1.3
1976-77,27.0,NYN,NBA,PG,37.0,,25.0,2.9,7.4,0.399,1.5,2.3,0.671,0.4,1.6,2.1,3.4,1.1,0.2,,2.6,7.4
1977-78,28.0,NJN,NBA,PG,10.0,,11.8,1.2,3.4,0.353,1.1,1.2,0.917,0.1,0.3,0.4,1.3,0.3,0.0,1.6,2.4,3.5
Career,,,NBA,,410.0,,19.9,2.5,5.8,0.43,1.3,1.7,0.75,0.2,0.9,1.4,3.4,0.9,0.1,1.6,2.5,6.2
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,HOU,NBA,,165.0,,17.8,2.0,4.7,0.438,0.9,1.2,0.766,0.2,0.9,1.2,3.5,0.9,0.1,,2.3,5.0
2 seasons,,BUF,NBA,,97.0,,22.1,2.8,6.2,0.442,1.2,1.6,0.756,0.2,0.5,1.2,4.0,0.8,0.0,,2.6,6.8
1 season,,PHI,NBA,,79.0,,20.6,3.1,7.2,0.429,2.0,2.6,0.757,,,1.9,2.9,,,,2.9,8.1
2 seasons,,"NYN,NJN",NBA,,47.0,,22.2,2.6,6.5,0.394,1.4,2.1,0.701,0.3,1.4,1.7,3.0,0.9,0.1,1.6,2.6,6.6
1 season,,POR,NBA,,22.0,,17.9,2.1,5.2,0.412,1.1,1.5,0.727,,,0.9,3.1,,,,2.0,5.4
