Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,22.0,CIN,NBA,PF,33.0,,6.1,0.9,2.9,0.309,,,,0.9,2.9,0.309,0.309,0.3,0.5,0.588,,,2.1,0.2,,1.1,2.1
1967-68,23.0,SDR,NBA,PF,30.0,,7.6,0.8,3.2,0.258,,,,0.8,3.2,0.258,0.258,0.8,1.1,0.676,,,2.6,0.2,,0.9,2.4
1968-69,24.0,DLC,ABA,PF,1.0,,15.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,2.0,0.5,2.0,5.0,7.0,1.0,1.0,4.0,7.0
Career,,,TOT,,64.0,,6.9,0.9,3.1,0.293,0.0,0.0,,0.9,3.1,0.293,0.293,0.5,0.8,0.642,2.0,5.0,2.4,0.2,1.0,1.0,2.3
,,,NBA,,63.0,,6.8,0.9,3.1,0.284,,,,0.9,3.1,0.284,0.284,0.5,0.8,0.647,,,2.3,0.2,,1.0,2.3
,,,ABA,,1.0,,15.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,2.0,0.5,2.0,5.0,7.0,1.0,1.0,4.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,CIN,NBA,,33.0,,6.1,0.9,2.9,0.309,,,,0.9,2.9,0.309,0.309,0.3,0.5,0.588,,,2.1,0.2,,1.1,2.1
1 season,,SDR,NBA,,30.0,,7.6,0.8,3.2,0.258,,,,0.8,3.2,0.258,0.258,0.8,1.1,0.676,,,2.6,0.2,,0.9,2.4
1 season,,DLC,ABA,,1.0,,15.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,1.0,2.0,0.5,2.0,5.0,7.0,1.0,1.0,4.0,7.0
