Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,22.0,DNR,ABA,PF,50.0,,9.1,1.6,4.1,0.392,0.1,0.3,0.235,1.5,3.7,0.406,0.402,0.6,1.2,0.542,0.6,1.4,2.0,0.3,0.7,1.7,3.9
1970-71,23.0,TOT,ABA,PF,10.0,,7.0,0.6,2.5,0.24,0.0,0.1,0.0,0.6,2.4,0.25,0.24,0.4,0.9,0.444,0.9,1.0,1.9,0.0,0.8,2.1,1.6
1970-71,23.0,FLO,ABA,PF,5.0,,8.0,0.4,2.4,0.167,0.0,0.0,,0.4,2.4,0.167,0.167,0.8,1.4,0.571,1.0,1.0,2.0,0.0,0.8,2.8,1.6
1970-71,23.0,TEX,ABA,PF,5.0,,6.0,0.8,2.6,0.308,0.0,0.2,0.0,0.8,2.4,0.333,0.308,0.0,0.4,0.0,0.8,1.0,1.8,0.0,0.8,1.4,1.6
Career,,,ABA,,60.0,,8.7,1.4,3.8,0.376,0.1,0.3,0.222,1.4,3.5,0.389,0.384,0.6,1.1,0.529,0.7,1.3,2.0,0.3,0.7,1.8,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,DNR,ABA,,50.0,,9.1,1.6,4.1,0.392,0.1,0.3,0.235,1.5,3.7,0.406,0.402,0.6,1.2,0.542,0.6,1.4,2.0,0.3,0.7,1.7,3.9
1 season,,FLO,ABA,,5.0,,8.0,0.4,2.4,0.167,0.0,0.0,,0.4,2.4,0.167,0.167,0.8,1.4,0.571,1.0,1.0,2.0,0.0,0.8,2.8,1.6
1 season,,TEX,ABA,,5.0,,6.0,0.8,2.6,0.308,0.0,0.2,0.0,0.8,2.4,0.333,0.308,0.0,0.4,0.0,0.8,1.0,1.8,0.0,0.8,1.4,1.6
