Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,Player,Ht
1968-69,22.0,BAL,NBA,F-G,28.0,,5.5,1.1,2.6,0.411,,,,1.1,2.6,0.411,0.411,1.0,1.6,0.614,,,0.9,0.4,,,0.5,3.1,Bob Quick,6-5
1969-70,23.0,TOT,NBA,F-G,34.0,,10.7,1.9,4.1,0.453,,,,1.9,4.1,0.453,0.453,1.4,2.1,0.69,,,2.2,0.4,,,1.5,5.1,Bob Quick,6-5
1970-71,24.0,DET,NBA,F-G,56.0,,20.5,2.8,6.1,0.455,,,,2.8,6.1,0.455,0.455,2.5,3.1,0.784,,,4.1,1.0,,,2.5,8.0,Bob Quick,6-5
1971-72,25.0,TOT,TOT,F-G,24.0,,10.9,2.0,4.0,0.485,0.0,0.0,,2.0,4.0,0.485,0.485,1.8,2.3,0.8,0.3,,2.7,0.5,,0.2,1.6,5.8,Bob Quick,6-5
