Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,Player,Ht
1968-69,22.0,TOT,NBA,C,34.0,,8.0,1.3,3.1,0.415,,,,1.3,3.1,0.415,0.415,0.6,0.7,0.76,,,2.9,0.5,,,1.8,3.1,Rich Niemann,7-0
1969-70,23.0,TOT,TOT,C,69.0,,21.5,4.2,8.8,0.474,0.0,0.0,,4.2,8.8,0.474,0.474,2.1,2.8,0.737,2.5,,8.2,1.3,,2.0,3.3,10.4,Rich Niemann,7-0
1970-71,24.0,FLO,ABA,C,51.0,,12.6,2.4,4.7,0.502,0.0,0.0,,2.4,4.7,0.502,0.502,0.8,1.2,0.717,1.5,3.5,5.0,0.6,,1.1,2.7,5.6,Rich Niemann,7-0
1971-72,25.0,DLC,ABA,C,33.0,,15.9,1.5,3.0,0.49,0.0,0.0,,1.5,3.0,0.49,0.49,0.8,1.0,0.735,1.4,3.3,4.7,0.7,,0.8,2.6,3.7,Rich Niemann,7-0
