Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22.0,LAL,NBA,C,80.0,,20.4,2.8,6.6,0.419,1.7,2.5,0.658,,,6.5,0.6,,,2.4,7.2
1963-64,23.0,LAL,NBA,C,78.0,,18.7,2.6,6.1,0.423,1.4,2.2,0.659,,,6.4,0.5,,,2.5,6.6
1964-65,24.0,LAL,NBA,C,80.0,,25.3,3.9,8.8,0.444,2.5,3.6,0.697,,,8.2,0.6,,,2.5,10.3
1965-66,25.0,LAL,NBA,C,80.0,,27.7,4.9,11.6,0.424,2.3,3.2,0.727,,,9.2,0.9,,,2.9,12.2
1966-67,26.0,BAL,NBA,C,81.0,,36.3,6.1,14.4,0.425,2.6,3.5,0.738,,,12.0,2.1,,,3.2,14.9
1967-68,27.0,BAL,NBA,C,78.0,,34.9,4.9,10.3,0.475,2.7,3.7,0.724,,,11.1,2.0,,,3.3,12.4
1968-69,28.0,BAL,NBA,C,80.0,,20.0,2.9,6.6,0.435,1.5,1.9,0.755,,,6.4,0.9,,,2.1,7.2
1969-70,29.0,BAL,NBA,C,72.0,,16.2,2.7,5.8,0.469,1.2,1.6,0.741,,,5.2,0.7,,,1.8,6.6
1970-71,30.0,POR,NBA,C,74.0,,34.9,6.6,14.8,0.443,2.8,3.5,0.801,,,12.3,3.2,,,3.5,15.9
1971-72,31.0,LAL,NBA,C,74.0,,14.6,1.9,4.1,0.46,0.9,1.3,0.695,,,4.2,0.6,,,1.6,4.6
1972-73,32.0,TOT,NBA,"C,PF",79.0,,32.9,5.3,12.3,0.434,1.6,2.0,0.801,,,9.8,1.8,,,2.5,12.3
1972-73,32.0,LAL,NBA,C,10.0,,15.6,1.1,4.0,0.275,0.4,0.5,0.8,,,3.3,0.3,,,1.3,2.6
1972-73,32.0,PHI,NBA,PF,69.0,,35.4,5.9,13.5,0.441,1.8,2.3,0.801,,,10.8,2.0,,,2.7,13.7
1973-74,33.0,PHI,NBA,C,81.0,,35.0,4.0,8.9,0.452,1.8,2.4,0.75,3.6,7.4,11.0,2.3,1.1,1.1,2.8,9.9
1974-75,34.0,PHI,NBA,PF,82.0,,26.6,3.5,7.6,0.461,0.9,1.2,0.727,2.4,4.7,7.1,1.4,0.5,0.7,2.2,7.9
1975-76,35.0,PHI,NBA,C,29.0,,16.9,2.1,4.6,0.462,0.6,1.0,0.607,1.6,2.6,4.2,0.7,0.6,0.3,2.1,4.8
Career,,,NBA,,1048.0,,26.3,4.0,8.9,0.442,1.8,2.5,0.728,2.8,5.5,8.3,1.3,0.8,0.8,2.5,9.7
,,,,,,,,,,,,,,,,,,,,,
6 seasons,,LAL,NBA,,402.0,,21.3,3.2,7.4,0.429,1.7,2.5,0.691,,,6.8,0.6,,,2.3,8.1
4 seasons,,BAL,NBA,,311.0,,27.1,4.2,9.3,0.447,2.0,2.7,0.737,,,8.7,1.4,,,2.6,10.4
4 seasons,,PHI,NBA,,261.0,,30.4,4.2,9.2,0.451,1.4,1.8,0.754,2.8,5.5,9.0,1.8,0.8,0.8,2.5,9.7
1 season,,POR,NBA,,74.0,,34.9,6.6,14.8,0.443,2.8,3.5,0.801,,,12.3,3.2,,,3.5,15.9
