Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,22.0,CIN,NBA,PF,68.0,,18.4,2.9,8.3,0.356,2.3,3.0,0.779,5.0,0.8,1.7,8.2
1959-60,23.0,DET,NBA,PF,73.0,,17.0,3.7,8.5,0.439,2.3,2.8,0.809,5.4,0.6,2.6,9.7
1960-61,24.0,DET,NBA,C,28.0,,11.0,1.9,4.8,0.393,1.4,1.7,0.83,3.4,0.6,1.8,5.2
1961-62,25.0,TOT,NBA,"C,PF",21.0,,13.7,2.4,5.5,0.443,1.7,2.2,0.761,3.7,0.8,1.6,6.5
1961-62,25.0,CHP,NBA,PF,13.0,,16.7,2.9,6.7,0.437,2.1,2.7,0.771,4.5,0.9,1.7,7.9
1961-62,25.0,STL,NBA,C,8.0,,8.9,1.6,3.5,0.464,1.0,1.4,0.727,2.4,0.5,1.4,4.3
Career,,,NBA,,190.0,,16.3,3.0,7.5,0.402,2.1,2.6,0.794,4.8,0.7,2.0,8.1
,,,,,,,,,,,,,,,,,
2 seasons,,DET,NBA,,101.0,,15.4,3.2,7.4,0.431,2.0,2.5,0.813,4.9,0.6,2.4,8.4
1 season,,CIN,NBA,,68.0,,18.4,2.9,8.3,0.356,2.3,3.0,0.779,5.0,0.8,1.7,8.2
1 season,,CHP,NBA,,13.0,,16.7,2.9,6.7,0.437,2.1,2.7,0.771,4.5,0.9,1.7,7.9
1 season,,STL,NBA,,8.0,,8.9,1.6,3.5,0.464,1.0,1.4,0.727,2.4,0.5,1.4,4.3
