Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,22.0,DET,NBA,PF,28.0,,5.8,0.8,2.7,0.293,,,,0.8,2.7,0.293,0.293,0.4,0.9,0.462,,,1.9,0.4,,,1.0,2.0
1968-69,23.0,DET,NBA,PF,29.0,,8.1,1.6,3.4,0.47,,,,1.6,3.4,0.47,0.47,0.8,1.2,0.667,,,2.1,0.4,,,1.7,4.1
1969-70,24.0,NYA,ABA,PF,80.0,,28.6,5.7,12.3,0.462,0.0,0.2,0.154,5.7,12.2,0.466,0.463,3.0,4.7,0.633,3.0,3.8,6.8,1.3,,2.5,3.7,14.4
1970-71,25.0,NYA,ABA,PF,83.0,,27.5,5.6,12.1,0.464,0.0,0.2,0.286,5.6,12.0,0.467,0.466,2.2,3.3,0.681,3.2,5.0,8.1,1.1,,2.7,3.7,13.5
1971-72,26.0,NYA,ABA,PF,2.0,,4.5,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,1.0,1.5,0.667,0.5,0.0,0.5,0.5,,1.0,2.0,3.0
Career,,,TOT,,222.0,,22.4,4.5,9.8,0.457,0.0,0.2,0.222,4.5,9.7,0.46,0.459,2.1,3.2,0.647,3.0,4.4,6.0,1.0,,2.6,3.1,11.1
,,,ABA,,165.0,,27.7,5.6,12.1,0.463,0.0,0.2,0.222,5.6,11.9,0.466,0.464,2.6,4.0,0.653,3.0,4.4,7.4,1.2,,2.6,3.7,13.8
,,,NBA,,57.0,,7.0,1.2,3.1,0.394,,,,1.2,3.1,0.394,0.394,0.6,1.1,0.581,,,2.0,0.4,,,1.3,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYA,ABA,,165.0,,27.7,5.6,12.1,0.463,0.0,0.2,0.222,5.6,11.9,0.466,0.464,2.6,4.0,0.653,3.0,4.4,7.4,1.2,,2.6,3.7,13.8
2 seasons,,DET,NBA,,57.0,,7.0,1.2,3.1,0.394,,,,1.2,3.1,0.394,0.394,0.6,1.1,0.581,,,2.0,0.4,,,1.3,3.1
