Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1946-47,24.0,WSC,BAA,G,58.0,,,5.0,17.1,0.294,2.5,3.1,0.811,,1.0,2.7,12.6,Fred Scolari,5-10
1947-48,25.0,WSC,BAA,G,47.0,,,4.9,16.6,0.294,2.8,3.8,0.732,,1.2,3.3,12.5,Fred Scolari,5-10
1948-49,26.0,WSC,BAA,G,48.0,,,4.1,13.2,0.31,3.0,3.8,0.798,,2.1,3.1,11.2,Fred Scolari,5-10
1949-50,27.0,WSC,NBA,G,66.0,,,4.7,13.8,0.343,3.6,4.3,0.822,,2.7,2.7,13.0,Fred Scolari,5-10
1950-51,28.0,TOT,NBA,G,66.0,,,4.6,14.0,0.327,4.2,5.0,0.843,3.3,3.9,2.8,13.4,Fred Scolari,5-10
1951-52,29.0,BLB,NBA,G,64.0,,35.0,4.5,13.5,0.334,5.5,6.6,0.835,3.3,4.7,3.3,14.6,Fred Scolari,5-10
1952-53,30.0,TOT,NBA,G,62.0,,34.2,4.5,13.0,0.342,4.5,5.3,0.844,3.4,3.8,3.4,13.4,Fred Scolari,5-10
1953-54,31.0,FTW,NBA,G,64.0,,24.8,2.5,7.7,0.324,2.3,2.8,0.8,2.2,2.0,2.4,7.2,Fred Scolari,5-10
1954-55,32.0,BOS,NBA,G,59.0,,10.5,1.3,4.2,0.305,0.7,0.8,0.796,1.3,1.6,1.3,3.2,Fred Scolari,5-10
