Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1965-66,23.0,BAL,NBA,G-F,59.0,,16.1,2.0,4.9,0.415,1.7,2.4,0.705,,,3.9,1.9,,,3.0,5.7,Jerry Sloan,6-5
1966-67,24.0,CHI,NBA,G-F,80.0,,36.8,6.6,15.2,0.432,4.3,5.3,0.796,,,9.1,2.1,,,3.7,17.4,Jerry Sloan,6-5
1967-68,25.0,CHI,NBA,G-F,77.0,,31.9,4.8,12.5,0.385,3.8,5.0,0.749,,,7.7,3.0,,,3.8,13.3,Jerry Sloan,6-5
1968-69,26.0,CHI,NBA,G-F,78.0,,37.7,6.3,15.0,0.417,4.3,5.7,0.745,,,7.9,3.5,,,4.0,16.8,Jerry Sloan,6-5
1969-70,27.0,CHI,NBA,G-F,53.0,,34.4,5.8,13.9,0.421,3.9,6.0,0.651,,,7.0,3.1,,,3.4,15.6,Jerry Sloan,6-5
1970-71,28.0,CHI,NBA,G-F,80.0,,39.3,7.4,16.8,0.441,3.5,4.9,0.715,,,8.8,3.5,,,3.6,18.3,Jerry Sloan,6-5
1971-72,29.0,CHI,NBA,G-F,82.0,,37.0,6.5,14.7,0.444,3.1,4.8,0.66,,,8.4,2.6,,,3.8,16.2,Jerry Sloan,6-5
1972-73,30.0,CHI,NBA,G-F,69.0,,35.0,4.4,10.6,0.411,1.4,1.9,0.707,,,6.9,2.2,,,3.4,10.1,Jerry Sloan,6-5
1973-74,31.0,CHI,NBA,G-F,77.0,,37.1,5.4,12.0,0.447,2.5,3.5,0.711,1.9,5.3,7.2,1.9,2.4,0.1,3.5,13.2,Jerry Sloan,6-5
1974-75,32.0,CHI,NBA,G-F,78.0,,33.0,4.9,11.1,0.439,2.5,3.3,0.748,2.3,4.6,6.9,2.1,2.2,0.2,3.4,12.2,Jerry Sloan,6-5
1975-76,33.0,CHI,NBA,G-F,22.0,,28.0,3.8,9.5,0.4,2.5,3.5,0.705,1.8,3.5,5.3,1.0,1.2,0.2,3.5,10.1,Jerry Sloan,6-5
