Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1967-68,24.0,MNM,ABA,F,77.0,,28.2,3.7,9.7,0.379,0.0,0.1,0.333,3.7,9.7,0.379,0.38,2.4,3.6,0.661,,,7.6,1.1,1.2,2.2,9.8,Sam Smith,6-7
1968-69,25.0,KEN,ABA,F,62.0,,22.9,2.8,7.0,0.396,0.0,0.2,0.1,2.8,6.9,0.403,0.397,1.8,2.8,0.663,2.7,3.6,6.3,1.0,1.1,2.3,7.4,Sam Smith,6-7
1969-70,26.0,KEN,ABA,F,81.0,,29.7,3.8,8.9,0.424,0.0,0.0,0.25,3.8,8.9,0.425,0.425,2.0,3.1,0.655,3.7,5.2,8.9,1.3,1.5,2.5,9.6,Sam Smith,6-7
1970-71,27.0,TOT,ABA,F,35.0,,8.6,1.1,2.7,0.419,0.0,0.1,0.2,1.1,2.5,0.432,0.425,0.7,1.1,0.615,1.1,1.2,2.3,0.6,0.5,1.2,2.9,Sam Smith,6-7
