Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1951-52,26.0,NYK,NBA,C-F,66.0,,23.6,3.4,9.1,0.378,2.7,3.8,0.689,7.1,1.8,3.2,9.5,Connie Simmons,6-8
1952-53,27.0,NYK,NBA,C-F,65.0,,26.3,3.7,9.8,0.377,3.8,5.2,0.732,7.0,2.0,3.9,11.2,Connie Simmons,6-8
1953-54,28.0,NYK,NBA,C-F,72.0,,27.9,3.5,9.9,0.358,2.9,4.2,0.689,6.7,1.8,3.3,10.0,Connie Simmons,6-8
1954-55,29.0,TOT,NBA,C-F,36.0,,23.9,3.8,10.7,0.357,2.0,3.2,0.632,6.1,1.7,3.0,9.6,Connie Simmons,6-8
1955-56,30.0,ROC,NBA,C-F,68.0,,13.3,2.1,6.3,0.336,1.1,1.9,0.605,3.5,1.2,2.1,5.4,Connie Simmons,6-8
