Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,Player,Ht
1961-62,25.0,CIN,NBA,G,80.0,,18.3,2.5,6.2,0.405,,,,2.5,6.2,0.405,0.405,2.2,2.8,0.775,,,1.9,2.1,,,1.3,7.2,Adrian Smith,6-1
1962-63,26.0,CIN,NBA,G,79.0,,19.3,3.1,6.9,0.443,,,,3.1,6.9,0.443,0.443,2.8,3.5,0.811,,,2.2,1.8,,,2.0,8.9,Adrian Smith,6-1
1963-64,27.0,CIN,NBA,G,66.0,,23.1,3.5,8.7,0.406,,,,3.5,8.7,0.406,0.406,2.3,3.0,0.782,,,2.2,2.2,,,2.5,9.4,Adrian Smith,6-1
1964-65,28.0,CIN,NBA,G,80.0,,34.3,5.8,12.7,0.456,,,,5.8,12.7,0.456,0.456,3.6,4.3,0.83,,,2.8,3.0,,,2.5,15.1,Adrian Smith,6-1
1965-66,29.0,CIN,NBA,G,80.0,,37.3,6.6,16.4,0.405,,,,6.6,16.4,0.405,0.405,5.1,6.0,0.85,,,3.6,3.2,,,3.5,18.4,Adrian Smith,6-1
1966-67,30.0,CIN,NBA,G,81.0,,32.5,6.2,14.2,0.438,,,,6.2,14.2,0.438,0.438,4.2,4.7,0.903,,,2.5,2.3,,,3.4,16.6,Adrian Smith,6-1
1967-68,31.0,CIN,NBA,G,82.0,,33.9,5.9,12.6,0.464,,,,5.9,12.6,0.464,0.464,3.9,4.7,0.829,,,2.3,3.3,,,3.2,15.6,Adrian Smith,6-1
1968-69,32.0,CIN,NBA,G,73.0,,18.3,3.3,7.7,0.432,,,,3.3,7.7,0.432,0.432,3.0,3.7,0.807,,,1.4,1.7,,,2.3,9.6,Adrian Smith,6-1
1969-70,33.0,TOT,NBA,G,77.0,,14.1,2.0,5.4,0.368,,,,2.0,5.4,0.368,0.368,2.0,2.2,0.894,,,1.1,1.7,,,1.6,5.9,Adrian Smith,6-1
1970-71,34.0,SFW,NBA,G,21.0,,11.8,1.8,4.2,0.427,,,,1.8,4.2,0.427,0.427,1.7,2.0,0.854,,,1.1,1.4,,,1.1,5.3,Adrian Smith,6-1
1971-72,35.0,VIR,ABA,G,53.0,,12.9,1.6,3.7,0.446,0.0,0.2,0.182,1.6,3.5,0.462,0.451,1.7,1.9,0.893,0.3,0.6,0.9,0.8,,0.6,1.7,5.1,Adrian Smith,6-1
