Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1946-47,28.0,STB,BAA,G-F,22.0,,,5.1,16.0,0.321,1.6,2.1,0.766,,0.5,1.7,11.9,Belus Smawley,6-1
1947-48,29.0,STB,BAA,G-F,48.0,,,4.4,14.3,0.308,2.3,3.1,0.74,,0.4,1.8,11.1,Belus Smawley,6-1
1948-49,30.0,STB,BAA,G-F,59.0,,,6.0,16.0,0.372,3.6,4.8,0.747,,3.1,2.5,15.5,Belus Smawley,6-1
1949-50,31.0,STB,NBA,G-F,61.0,,,4.7,13.6,0.345,4.3,5.1,0.828,,3.5,2.6,13.7,Belus Smawley,6-1
1950-51,32.0,TOT,NBA,G-F,60.0,,,4.2,11.1,0.38,3.8,4.5,0.85,3.0,2.7,2.4,12.2,Belus Smawley,6-1
1951-52,33.0,BLB,NBA,G-F,11.0,,12.6,1.2,5.7,0.206,1.3,1.5,0.824,1.6,0.7,0.8,3.6,Belus Smawley,6-1
