Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1974-75,21.0,MIL,NBA,G,73.0,,22.5,3.2,7.0,0.455,1.7,2.5,0.685,0.5,1.5,2.0,3.0,0.4,0.2,,2.4,8.1,Gary Brokaw,6-4
1975-76,22.0,MIL,NBA,G,75.0,,19.6,3.2,6.9,0.457,2.1,3.0,0.7,0.3,1.3,1.7,3.3,0.5,0.2,,1.8,8.4,Gary Brokaw,6-4
1976-77,23.0,TOT,NBA,G,80.0,,18.6,3.0,7.1,0.429,2.0,2.7,0.744,0.3,1.3,1.5,2.9,0.5,0.5,,2.1,8.1,Gary Brokaw,6-4
1977-78,24.0,BUF,NBA,G,13.0,,10.0,1.4,3.3,0.419,1.4,1.8,0.75,0.2,0.7,0.9,1.5,0.2,0.4,0.9,0.8,4.2,Gary Brokaw,6-4
