Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1966-67,22.0,LAL,NBA,F-C,22.0,,5.4,0.9,2.4,0.385,1.1,1.5,0.706,,,2.0,0.2,,,0.9,2.9,John Block,6-9
1967-68,23.0,SDR,NBA,F-C,52.0,,34.7,7.0,16.6,0.423,6.1,7.6,0.802,,,11.0,1.4,,,3.6,20.2,John Block,6-9
1968-69,24.0,SDR,NBA,F-C,78.0,,31.9,5.7,13.6,0.422,3.8,5.1,0.748,,,9.0,1.8,,,3.2,15.3,John Block,6-9
1969-70,25.0,SDR,NBA,F-C,82.0,,26.2,5.5,12.5,0.442,3.5,4.5,0.782,,,7.4,1.7,,,3.4,14.5,John Block,6-9
1970-71,26.0,SDR,NBA,F-C,73.0,,20.1,3.4,8.0,0.42,2.9,3.7,0.785,,,6.1,1.3,,,2.6,9.6,John Block,6-9
1971-72,27.0,MIL,NBA,F-C,79.0,,19.3,2.9,6.7,0.44,2.6,3.5,0.749,,,5.2,1.2,,,2.7,8.5,John Block,6-9
1972-73,28.0,TOT,NBA,F-C,73.0,,28.0,5.4,12.1,0.441,4.1,5.2,0.794,,,7.7,1.5,,,3.3,14.8,John Block,6-9
1973-74,29.0,KCO,NBA,F-C,82.0,,21.7,3.4,7.7,0.434,2.0,2.5,0.796,1.6,3.2,4.7,1.1,0.8,0.4,2.8,8.7,John Block,6-9
1974-75,30.0,TOT,NBA,F-C,54.0,,17.4,2.9,6.4,0.46,2.1,2.7,0.792,1.3,3.0,4.3,0.9,0.8,0.6,2.2,8.0,John Block,6-9
1975-76,31.0,CHI,NBA,F-C,2.0,,3.5,1.0,2.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,John Block,6-9
