Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1952-53,25.0,NYK,NBA,G-F,70,,33.1,4.6,11.5,.400,4.7,5.7,.825,3.3,3.5,4.1,14.0,Carl Braun,6-5
1953-54,26.0,NYK,NBA,G-F,72,,33.0,4.9,12.3,.400,4.9,6.0,.825,3.4,2.9,3.6,14.8,Carl Braun,6-5
1954-55,27.0,NYK,NBA,G-F,71,,34.9,5.6,14.5,.388,3.9,4.8,.801,4.2,3.9,2.9,15.1,Carl Braun,6-5
1955-56,28.0,NYK,NBA,G-F,72,,32.2,5.5,14.8,.372,4.4,5.3,.838,3.6,4.1,3.0,15.4,Carl Braun,6-5
1956-57,29.0,NYK,NBA,G-F,72,,32.6,5.3,13.8,.381,3.4,4.2,.809,3.6,3.6,2.7,13.9,Carl Braun,6-5
1957-58,30.0,NYK,NBA,G-F,71,,34.9,6.0,14.3,.418,4.5,5.3,.849,4.6,5.5,2.6,16.5,Carl Braun,6-5
1958-59,31.0,NYK,NBA,G-F,72,,27.2,4.0,9.5,.420,2.5,3.0,.826,3.5,4.8,2.5,10.5,Carl Braun,6-5
1959-60,32.0,NYK,NBA,G-F,54,,28.0,5.3,12.2,.432,2.4,2.9,.838,3.1,5.0,2.4,12.9,Carl Braun,6-5
1960-61,33.0,NYK,NBA,G-F,15,,14.5,2.5,5.3,.468,0.7,0.9,.786,2.1,3.2,1.9,5.7,Carl Braun,6-5
1961-62,34.0,BOS,NBA,G-F,48,,8.6,1.6,4.3,.377,0.4,0.6,.741,1.0,1.5,1.0,3.7,Carl Braun,6-5
