Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24.0,BOS,BAA,,55.0,,,2.5,8.7,0.292,1.3,2.3,0.581,,0.9,1.9,6.4
1947-48,25.0,TOT,BAA,,12.0,,,0.5,3.1,0.162,0.1,0.3,0.25,,0.3,1.3,1.1
1947-48,25.0,PRO,BAA,,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0
1947-48,25.0,STB,BAA,,11.0,,,0.5,3.3,0.167,0.1,0.3,0.333,,0.3,1.5,1.2
Career,,,BAA,,67.0,,,2.2,7.7,0.283,1.1,1.9,0.57,,0.7,1.8,5.4
,,,,,,,,,,,,,,,,,
1 season,,BOS,BAA,,55.0,,,2.5,8.7,0.292,1.3,2.3,0.581,,0.9,1.9,6.4
1 season,,STB,BAA,,11.0,,,0.5,3.3,0.167,0.1,0.3,0.333,,0.3,1.5,1.2
1 season,,PRO,BAA,,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0
