Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1958-59,22.0,MNL,NBA,F,72,,16.7,2.3,5.3,0.43,1.4,2.0,0.708,5.3,0.8,1.9,5.9,Boo Ellis,6-5
1959-60,23.0,MNL,NBA,F,46,,14.6,1.4,4.0,0.346,1.1,1.7,0.671,5.1,0.6,1.4,3.9,Boo Ellis,6-5
