Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1958-59,21.0,CIN,NBA,C-F,66.0,,24.1,4.1,10.6,0.387,3.1,4.8,0.656,9.0,1.5,3.5,11.4,Wayne Embry,6-8
1959-60,22.0,CIN,NBA,C-F,73.0,,21.8,4.2,9.5,0.439,2.3,4.5,0.514,9.5,1.1,3.1,10.6,Wayne Embry,6-8
1960-61,23.0,CIN,NBA,C-F,79.0,,28.3,5.8,12.8,0.451,2.8,4.2,0.668,10.9,1.6,3.6,14.4,Wayne Embry,6-8
1961-62,24.0,CIN,NBA,C-F,75.0,,35.0,7.5,16.1,0.466,4.7,6.9,0.69,13.0,2.4,3.8,19.8,Wayne Embry,6-8
1962-63,25.0,CIN,NBA,C-F,76.0,,33.0,7.0,15.3,0.458,4.5,6.8,0.667,12.3,2.3,3.8,18.6,Wayne Embry,6-8
1963-64,26.0,CIN,NBA,C-F,80.0,,36.4,7.0,15.2,0.458,3.4,5.2,0.65,11.6,1.4,4.1,17.3,Wayne Embry,6-8
1964-65,27.0,CIN,NBA,C-F,74.0,,30.3,4.8,10.4,0.456,3.2,5.0,0.644,10.0,1.2,4.0,12.7,Wayne Embry,6-8
1965-66,28.0,CIN,NBA,C-F,80.0,,23.5,2.9,7.1,0.411,1.8,2.9,0.603,6.6,1.0,3.6,7.6,Wayne Embry,6-8
1966-67,29.0,BOS,NBA,C-F,72.0,,10.1,2.0,5.0,0.409,1.1,2.0,0.569,4.1,0.6,1.9,5.2,Wayne Embry,6-8
1967-68,30.0,BOS,NBA,C-F,78.0,,13.9,2.5,6.2,0.4,1.4,2.4,0.589,4.1,0.7,2.2,6.3,Wayne Embry,6-8
1968-69,31.0,MIL,NBA,C-F,78.0,,30.2,4.9,11.5,0.427,3.3,5.0,0.664,8.6,1.9,3.9,13.1,Wayne Embry,6-8
