Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1961-62,23.0,DET,NBA,G,58.0,,12.0,2.2,5.2,0.425,1.1,1.4,0.762,1.5,1.8,1.1,5.5,Johnny Egan,5-11
1962-63,24.0,DET,NBA,G,46.0,,16.3,2.4,6.4,0.372,1.2,1.5,0.768,1.3,2.5,1.5,5.9,Johnny Egan,5-11
1963-64,25.0,TOT,NBA,G,66.0,,35.2,5.1,11.5,0.441,2.9,3.7,0.794,2.9,5.4,2.7,13.0,Johnny Egan,5-11
1964-65,26.0,NYK,NBA,G,74.0,,22.5,3.5,7.1,0.488,2.2,2.7,0.814,1.9,3.4,1.9,9.2,Johnny Egan,5-11
1965-66,27.0,TOT,NBA,G,76.0,,21.6,3.4,7.6,0.451,2.3,3.0,0.762,2.4,3.6,2.2,9.1,Johnny Egan,5-11
1966-67,28.0,BAL,NBA,G,71.0,,24.5,3.8,8.8,0.428,2.6,3.1,0.845,2.5,3.9,2.7,10.1,Johnny Egan,5-11
1967-68,29.0,BAL,NBA,G,67.0,,13.9,2.4,6.2,0.393,2.1,2.7,0.776,1.7,2.0,1.9,7.0,Johnny Egan,5-11
1968-69,30.0,LAL,NBA,G,82.0,,22.0,3.0,7.3,0.412,2.5,2.9,0.85,1.8,2.6,2.5,8.5,Johnny Egan,5-11
1969-70,31.0,LAL,NBA,G,72.0,,22.6,3.0,6.8,0.438,1.4,1.7,0.818,1.4,3.0,2.4,7.3,Johnny Egan,5-11
1970-71,32.0,TOT,NBA,G,62.0,,13.3,1.1,2.9,0.376,0.7,0.8,0.824,1.0,1.8,1.1,2.8,Johnny Egan,5-11
1971-72,33.0,HOU,NBA,G,38.0,,11.5,1.1,2.7,0.404,0.7,0.8,0.813,0.7,1.3,1.4,2.9,Johnny Egan,5-11
