Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1965-66,21.0,SFW,NBA,F-G,64.0,,10.1,1.5,4.2,0.356,0.7,1.0,0.662,,,2.5,0.6,,,1.4,3.6,Keith Erickson,6-5
1966-67,22.0,CHI,NBA,F-G,76.0,,19.1,3.1,8.4,0.367,1.5,2.1,0.736,,,4.5,1.6,,,2.6,7.7,Keith Erickson,6-5
1967-68,23.0,CHI,NBA,F-G,78.0,,28.9,4.8,12.1,0.401,2.5,3.3,0.755,,,5.4,3.4,,,3.5,12.2,Keith Erickson,6-5
1968-69,24.0,LAL,NBA,F-G,77.0,,25.6,3.4,8.2,0.42,1.6,2.3,0.686,,,4.0,2.5,,,2.9,8.4,Keith Erickson,6-5
1969-70,25.0,LAL,NBA,F-G,68.0,,25.8,3.8,8.3,0.458,1.3,1.8,0.746,,,4.5,3.1,,,2.6,8.9,Keith Erickson,6-5
1970-71,26.0,LAL,NBA,F-G,73.0,,31.1,5.1,10.7,0.471,1.2,1.5,0.759,,,5.5,3.1,,,3.3,11.3,Keith Erickson,6-5
1971-72,27.0,LAL,NBA,F-G,15.0,,17.5,2.7,5.5,0.482,0.4,0.5,0.857,,,2.6,2.3,,,1.7,5.7,Keith Erickson,6-5
1972-73,28.0,LAL,NBA,F-G,76.0,,25.3,3.9,9.2,0.43,1.2,1.4,0.809,,,4.4,3.2,,,2.5,9.0,Keith Erickson,6-5
1973-74,29.0,PHO,NBA,F-G,66.0,,30.8,6.0,12.5,0.477,2.7,3.3,0.801,1.4,4.8,6.3,3.1,1.0,0.3,2.9,14.6,Keith Erickson,6-5
1974-75,30.0,PHO,NBA,F-G,49.0,,30.0,4.8,11.4,0.425,2.7,3.2,0.833,1.4,3.5,5.0,3.5,1.0,0.2,3.1,12.3,Keith Erickson,6-5
1975-76,31.0,PHO,NBA,F-G,74.0,,25.0,4.1,8.8,0.47,1.8,2.1,0.854,1.4,3.1,4.5,2.5,1.1,0.1,2.6,10.1,Keith Erickson,6-5
1976-77,32.0,PHO,NBA,F-G,50.0,,19.0,2.8,5.9,0.483,0.7,1.0,0.74,0.7,2.2,2.9,2.1,0.6,0.1,2.4,6.4,Keith Erickson,6-5
