Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1963-64,25.0,BAL,NBA,F,78.0,,14.7,2.6,6.2,0.419,1.1,1.9,0.562,,,4.0,0.7,,,1.6,6.3,Don Kojis,6-5
1964-65,26.0,DET,NBA,F,65.0,,12.9,2.8,6.4,0.433,1.0,1.5,0.633,,,3.7,1.0,,,1.8,6.5,Don Kojis,6-5
1965-66,27.0,DET,NBA,F,60.0,,13.1,3.0,7.3,0.415,1.3,2.4,0.539,,,4.3,0.7,,,1.6,7.3,Don Kojis,6-5
1966-67,28.0,CHI,NBA,F,78.0,,21.2,4.2,9.9,0.426,1.7,2.8,0.604,,,6.1,0.9,,,2.6,10.2,Don Kojis,6-5
1967-68,29.0,SDR,NBA,F,69.0,,36.9,7.7,17.2,0.446,4.3,6.0,0.726,,,10.3,2.6,,,3.8,19.7,Don Kojis,6-5
1968-69,30.0,SDR,NBA,F,81.0,,38.6,8.5,19.5,0.434,5.5,7.4,0.748,,,9.6,2.6,,,3.7,22.5,Don Kojis,6-5
1969-70,31.0,SDR,NBA,F,56.0,,28.2,6.0,13.5,0.447,3.2,4.3,0.751,,,6.9,1.4,,,2.4,15.3,Don Kojis,6-5
1970-71,32.0,SEA,NBA,F,79.0,,27.1,5.7,12.9,0.446,3.2,4.1,0.778,,,5.5,1.6,,,2.8,14.6,Don Kojis,6-5
1971-72,33.0,SEA,NBA,F,73.0,,25.4,4.4,9.4,0.469,2.6,3.2,0.793,,,4.6,1.1,,,2.3,11.4,Don Kojis,6-5
1972-73,34.0,KCO,NBA,F,77.0,,16.1,3.6,7.5,0.48,1.4,1.8,0.774,,,2.6,1.0,,,1.7,8.5,Don Kojis,6-5
1973-74,35.0,KCO,NBA,F,77.0,,27.2,5.2,10.9,0.478,2.7,3.5,0.772,1.6,3.3,5.0,1.4,1.0,0.2,2.0,13.1,Don Kojis,6-5
1974-75,36.0,KCO,NBA,F,21.0,,11.0,2.2,4.7,0.469,1.0,1.4,0.667,0.7,1.2,1.9,0.5,0.6,0.0,1.5,5.3,Don Kojis,6-5
