Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1963-64,22.0,LAL,NBA,G,60.0,,12.7,1.4,3.3,0.424,1.1,1.7,0.653,1.9,1.8,1.7,3.9,Jim King,6-2
1964-65,23.0,LAL,NBA,G,77.0,,21.7,2.4,6.1,0.392,1.5,2.0,0.781,2.8,2.3,2.5,6.3,Jim King,6-2
1965-66,24.0,LAL,NBA,G,76.0,,19.7,3.1,7.2,0.437,1.2,1.5,0.817,2.7,2.9,2.4,7.5,Jim King,6-2
1966-67,25.0,SFW,NBA,G,67.0,,24.9,4.3,10.2,0.418,2.6,3.3,0.787,4.8,3.6,2.9,11.1,Jim King,6-2
1967-68,26.0,SFW,NBA,G,54.0,,32.3,6.3,14.8,0.425,4.0,5.0,0.81,4.5,4.2,3.2,16.6,Jim King,6-2
1968-69,27.0,SFW,NBA,G,46.0,,22.0,3.0,8.6,0.348,1.7,2.3,0.722,2.6,2.7,2.2,7.7,Jim King,6-2
1969-70,28.0,TOT,NBA,G,34.0,,11.5,1.6,3.8,0.411,1.0,1.2,0.805,1.8,1.5,1.4,4.1,Jim King,6-2
1970-71,29.0,CHI,NBA,G,55.0,,11.7,1.8,4.1,0.439,1.2,1.4,0.81,1.2,1.4,1.0,4.8,Jim King,6-2
1971-72,30.0,CHI,NBA,G,73.0,,13.9,2.2,4.9,0.455,1.2,1.5,0.788,1.1,1.4,1.4,5.7,Jim King,6-2
1972-73,31.0,CHI,NBA,G,65.0,,12.1,1.8,4.0,0.441,0.7,0.8,0.846,1.2,1.2,1.2,4.2,Jim King,6-2
