Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1954-55,22.0,SYR,NBA,C-F,72.0,,21.2,4.2,10.0,0.419,2.1,3.1,0.682,6.6,1.1,2.3,10.5,Red Kerr,6-9
1955-56,23.0,SYR,NBA,C-F,72.0,,29.4,5.2,13.0,0.403,2.9,4.4,0.655,8.4,1.2,2.3,13.3,Red Kerr,6-9
1956-57,24.0,SYR,NBA,C-F,72.0,,30.4,4.6,11.5,0.403,3.1,4.3,0.719,11.2,1.3,2.6,12.4,Red Kerr,6-9
1957-58,25.0,SYR,NBA,C-F,72.0,,33.1,5.7,14.2,0.399,3.9,5.9,0.664,13.4,1.2,2.7,15.2,Red Kerr,6-9
1958-59,26.0,SYR,NBA,C-F,72.0,,37.1,7.0,15.8,0.441,3.9,5.1,0.766,14.0,2.0,2.5,17.8,Red Kerr,6-9
1959-60,27.0,SYR,NBA,C-F,75.0,,31.6,5.8,14.8,0.392,3.1,4.1,0.752,12.2,2.2,2.8,14.7,Red Kerr,6-9
1960-61,28.0,SYR,NBA,C-F,79.0,,33.9,5.3,13.4,0.397,2.8,3.8,0.729,12.0,2.5,2.9,13.4,Red Kerr,6-9
1961-62,29.0,SYR,NBA,C-F,80.0,,34.6,6.8,15.3,0.443,2.8,3.8,0.735,14.7,3.0,3.4,16.3,Red Kerr,6-9
1962-63,30.0,SYR,NBA,C-F,80.0,,32.0,6.3,13.4,0.474,3.0,4.0,0.753,13.0,2.7,2.6,15.7,Red Kerr,6-9
1963-64,31.0,PHI,NBA,C-F,80.0,,36.7,6.7,15.6,0.429,3.4,4.5,0.751,12.7,3.4,2.3,16.8,Red Kerr,6-9
1964-65,32.0,PHI,NBA,C-F,80.0,,22.6,3.3,8.9,0.37,1.6,2.3,0.696,6.9,2.5,1.7,8.2,Red Kerr,6-9
1965-66,33.0,BAL,NBA,C-F,71.0,,24.9,4.0,9.7,0.413,2.9,3.8,0.768,8.3,3.2,2.1,11.0,Red Kerr,6-9
