Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1952-53,24.0,MLH,NBA,SG,5,,19.4,1.6,5.2,0.308,1.0,1.4,0.714,2.0,1.0,4.0,4.2
Career,,,NBA,,5,,19.4,1.6,5.2,0.308,1.0,1.4,0.714,2.0,1.0,4.0,4.2
