Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,28.0,STB,BAA,SG,22.0,,,5.1,16.0,0.321,1.6,2.1,0.766,,0.5,1.7,11.9
1947-48,29.0,STB,BAA,SG,48.0,,,4.4,14.3,0.308,2.3,3.1,0.74,,0.4,1.8,11.1
1948-49,30.0,STB,BAA,SG,59.0,,,6.0,16.0,0.372,3.6,4.8,0.747,,3.1,2.5,15.5
1949-50,31.0,STB,NBA,SG,61.0,,,4.7,13.6,0.345,4.3,5.1,0.828,,3.5,2.6,13.7
1950-51,32.0,TOT,NBA,SG,60.0,,,4.2,11.1,0.38,3.8,4.5,0.85,3.0,2.7,2.4,12.2
1950-51,32.0,SYR,NBA,SG,16.0,,,2.5,7.4,0.339,2.8,3.4,0.815,3.0,2.3,2.3,7.8
1950-51,32.0,BLB,NBA,SG,44.0,,,4.8,12.4,0.389,4.2,4.8,0.859,3.0,2.8,2.5,13.8
1951-52,33.0,BLB,NBA,SG,11.0,,12.6,1.2,5.7,0.206,1.3,1.5,0.824,1.6,0.7,0.8,3.6
Career,,,TOT,,261.0,,12.6,4.7,13.6,0.347,3.3,4.1,0.797,2.8,2.3,2.2,12.7
,,,NBA,,132.0,,12.6,4.2,11.8,0.354,3.8,4.5,0.838,2.8,2.9,2.4,12.2
,,,BAA,,129.0,,,5.2,15.4,0.341,2.8,3.7,0.747,,1.6,2.1,13.3
,,,,,,,,,,,,,,,,,
4 seasons,,STB,BAA,,190.0,,,5.1,14.8,0.342,3.2,4.2,0.779,,2.2,2.3,13.4
2 seasons,,BLB,NBA,,55.0,,12.6,4.1,11.1,0.37,3.6,4.2,0.857,2.7,2.4,2.1,11.8
1 season,,SYR,NBA,,16.0,,,2.5,7.4,0.339,2.8,3.4,0.815,3.0,2.3,2.3,7.8
