Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,26.0,NYK,BAA,,60.0,,,2.9,10.7,0.268,2.2,2.8,0.782,,0.8,2.1,8.0
1947-48,27.0,NYK,BAA,,47.0,,,2.3,10.7,0.218,2.4,2.9,0.837,,1.2,2.6,7.0
1948-49,28.0,BLB,BAA,,59.0,,,2.1,7.3,0.281,2.2,2.7,0.824,,1.4,2.5,6.3
Career,,,BAA,,166.0,,,2.4,9.5,0.256,2.3,2.8,0.813,,1.1,2.4,7.1
,,,,,,,,,,,,,,,,,
2 seasons,,NYK,BAA,,107.0,,,2.6,10.7,0.246,2.3,2.9,0.807,,1.0,2.3,7.6
1 season,,BLB,BAA,,59.0,,,2.1,7.3,0.281,2.2,2.7,0.824,,1.4,2.5,6.3
