Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22.0,LAS,ABA,SF,74.0,,29.7,5.9,13.0,0.453,0.4,1.0,0.378,5.5,12.0,0.46,0.468,3.5,4.6,0.774,2.1,4.7,6.8,0.8,,1.7,3.4,15.7
1969-70,23.0,LAS,ABA,SF,83.0,,31.8,6.2,14.4,0.429,0.8,2.5,0.316,5.4,11.9,0.452,0.456,2.9,3.7,0.781,2.0,4.7,6.6,1.7,,1.9,3.4,16.0
1970-71,24.0,UTS,ABA,SF,78.0,,22.2,4.8,10.4,0.46,0.6,2.0,0.318,4.1,8.3,0.495,0.491,1.6,2.0,0.776,1.2,3.4,4.7,1.4,,0.9,2.2,11.7
1971-72,25.0,TOT,ABA,SF,24.0,,15.9,2.0,5.1,0.398,0.0,0.4,0.111,2.0,4.8,0.421,0.402,1.0,1.2,0.893,0.5,2.0,2.6,1.0,,0.9,1.7,5.2
1971-72,25.0,UTS,ABA,SF,8.0,,17.8,2.6,6.0,0.438,0.1,0.5,0.25,2.5,5.5,0.455,0.448,1.1,1.4,0.818,0.9,2.0,2.9,0.5,,0.8,2.1,6.5
1971-72,25.0,CAR,ABA,SF,16.0,,14.9,1.8,4.7,0.373,0.0,0.3,0.0,1.8,4.4,0.4,0.373,1.0,1.1,0.941,0.4,2.1,2.4,1.3,,1.0,1.4,4.5
Career,,,ABA,,259.0,,26.8,5.3,11.9,0.444,0.6,1.7,0.323,4.7,10.2,0.464,0.467,2.5,3.2,0.781,1.6,4.1,5.7,1.3,,1.4,2.9,13.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,"LAS,UTS",ABA,,243.0,,27.6,5.5,12.4,0.445,0.6,1.8,0.327,4.9,10.6,0.466,0.469,2.6,3.3,0.778,1.7,4.2,5.9,1.3,,1.5,3.0,14.2
1 season,,CAR,ABA,,16.0,,14.9,1.8,4.7,0.373,0.0,0.3,0.0,1.8,4.4,0.4,0.373,1.0,1.1,0.941,0.4,2.1,2.4,1.3,,1.0,1.4,4.5
