Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,25.0,PRO,BAA,,55.0,,,5.3,14.6,0.364,2.8,3.4,0.804,,2.3,2.8,13.4
1949-50,26.0,BOS,NBA,,67.0,,,3.3,9.6,0.344,2.1,2.7,0.786,,2.6,2.2,8.8
Career,,,TOT,,122.0,,,4.2,11.9,0.355,2.4,3.0,0.795,,2.5,2.5,10.8
,,,NBA,,67.0,,,3.3,9.6,0.344,2.1,2.7,0.786,,2.6,2.2,8.8
,,,BAA,,55.0,,,5.3,14.6,0.364,2.8,3.4,0.804,,2.3,2.8,13.4
,,,,,,,,,,,,,,,,,
1 season,,BOS,NBA,,67.0,,,3.3,9.6,0.344,2.1,2.7,0.786,,2.6,2.2,8.8
1 season,,PRO,BAA,,55.0,,,5.3,14.6,0.364,2.8,3.4,0.804,,2.3,2.8,13.4
