Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22.0,MMF,ABA,PF,77.0,,25.8,4.0,8.5,0.465,0.0,0.1,0.0,4.0,8.5,0.468,0.465,4.2,5.8,0.713,2.9,4.3,7.2,0.9,,1.8,2.8,12.1
1969-70,23.0,MMF,ABA,PF,84.0,,41.6,7.6,15.7,0.484,0.0,0.1,0.167,7.6,15.6,0.486,0.484,5.6,7.5,0.74,5.1,7.7,12.9,1.5,,3.0,3.2,20.8
1970-71,24.0,TOT,ABA,PF,84.0,,25.6,5.1,10.1,0.499,0.0,0.1,0.222,5.0,10.0,0.502,0.501,2.9,3.9,0.728,3.4,4.2,7.6,1.2,,1.9,2.8,13.0
1970-71,24.0,DNR,ABA,PF,54.0,,30.1,6.3,12.9,0.488,0.0,0.1,0.0,6.3,12.8,0.492,0.488,3.6,4.8,0.747,3.9,5.1,9.0,1.2,,2.3,3.1,16.1
1970-71,24.0,INA,ABA,PF,30.0,,17.6,2.9,5.2,0.548,0.1,0.1,0.5,2.8,5.1,0.549,0.554,1.6,2.5,0.662,2.4,2.5,4.9,1.0,,1.1,2.2,7.4
1971-72,25.0,TOT,ABA,"C,PF",69.0,,13.9,2.5,5.6,0.456,0.0,0.1,0.1,2.5,5.4,0.465,0.457,1.8,2.8,0.636,1.7,1.7,3.4,0.4,,0.8,1.4,6.9
1971-72,25.0,INA,ABA,C,27.0,,14.6,2.7,5.3,0.503,0.0,0.0,0.0,2.7,5.3,0.507,0.503,1.1,1.8,0.633,1.6,1.9,3.5,0.4,,0.7,1.4,6.5
1971-72,25.0,MMP,ABA,PF,42.0,,13.5,2.5,5.7,0.427,0.0,0.2,0.111,2.4,5.5,0.44,0.429,2.2,3.5,0.637,1.7,1.6,3.3,0.4,,0.9,1.4,7.1
Career,,,ABA,,314.0,,27.4,4.9,10.2,0.481,0.0,0.1,0.138,4.9,10.1,0.484,0.481,3.7,5.1,0.717,3.4,4.6,8.0,1.0,,1.9,2.6,13.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MMF,ABA,,161.0,,34.0,5.9,12.3,0.478,0.0,0.1,0.1,5.9,12.2,0.48,0.478,4.9,6.7,0.729,4.1,6.1,10.1,1.3,,2.4,3.0,16.6
2 seasons,,INA,ABA,,57.0,,16.2,2.8,5.3,0.527,0.0,0.1,0.4,2.7,5.2,0.529,0.53,1.4,2.2,0.65,2.1,2.2,4.2,0.7,,0.9,1.8,7.0
1 season,,DNR,ABA,,54.0,,30.1,6.3,12.9,0.488,0.0,0.1,0.0,6.3,12.8,0.492,0.488,3.6,4.8,0.747,3.9,5.1,9.0,1.2,,2.3,3.1,16.1
1 season,,MMP,ABA,,42.0,,13.5,2.5,5.7,0.427,0.0,0.2,0.111,2.4,5.5,0.44,0.429,2.2,3.5,0.637,1.7,1.6,3.3,0.4,,0.9,1.4,7.1
