Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,23.0,PHO,NBA,SF,69.0,,15.3,2.6,5.9,0.433,1.0,1.4,0.695,1.2,2.5,3.7,1.2,0.6,0.2,,2.2,6.1
1975-76,24.0,PHO,NBA,SF,17.0,,8.6,1.6,3.8,0.438,0.4,0.6,0.545,0.6,1.5,2.2,0.8,0.3,0.1,,1.4,3.6
1976-77,25.0,BOS,NBA,SF,68.0,,15.5,2.7,5.8,0.466,0.5,0.8,0.66,1.1,2.2,3.3,1.3,0.4,0.1,,2.8,5.9
1977-78,26.0,TOT,NBA,SF,56.0,,11.5,1.8,4.2,0.423,0.5,0.6,0.722,0.7,1.3,2.0,0.8,0.4,0.3,0.8,1.9,4.0
1977-78,26.0,BOS,NBA,SF,26.0,,9.3,1.2,3.5,0.33,0.5,0.7,0.824,0.4,1.0,1.4,0.4,0.3,0.2,0.8,1.3,2.8
1977-78,26.0,NOJ,NBA,SF,30.0,,13.3,2.3,4.8,0.483,0.4,0.6,0.632,0.9,1.6,2.5,1.2,0.5,0.3,0.7,2.4,5.0
Career,,,NBA,,210.0,,13.8,2.3,5.2,0.443,0.6,0.9,0.682,1.0,2.0,3.0,1.1,0.4,0.2,0.8,2.2,5.3
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BOS,NBA,,94.0,,13.8,2.3,5.2,0.44,0.5,0.7,0.7,0.9,1.9,2.8,1.0,0.4,0.1,0.8,2.4,5.1
2 seasons,,PHO,NBA,,86.0,,14.0,2.4,5.5,0.434,0.8,1.2,0.679,1.1,2.3,3.4,1.1,0.5,0.2,,2.0,5.6
1 season,,NOJ,NBA,,30.0,,13.3,2.3,4.8,0.483,0.4,0.6,0.632,0.9,1.6,2.5,1.2,0.5,0.3,0.7,2.4,5.0
