Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,22.0,TOT,NBA,SF,23.0,,16.3,1.9,5.0,0.383,1.0,2.0,0.468,4.6,0.9,2.7,4.8
1954-55,22.0,SYR,NBA,SF,1.0,,5.0,1.0,2.0,0.5,0.0,2.0,0.0,1.0,0.0,2.0,2.0
1954-55,22.0,MLH,NBA,SF,1.0,,13.0,1.0,7.0,0.143,0.0,0.0,,4.0,2.0,1.0,2.0
1954-55,22.0,PHW,NBA,SF,20.0,,17.7,2.1,5.2,0.394,1.1,2.2,0.512,5.0,0.9,2.9,5.2
1955-56,23.0,PHW,NBA,SF,54.0,,7.4,0.9,2.4,0.388,0.6,1.0,0.604,2.2,0.5,1.5,2.4
1956-57,24.0,PHW,NBA,SF,57.0,,7.0,0.8,1.9,0.406,0.6,0.8,0.804,2.0,0.4,1.3,2.2
Career,,,NBA,,134.0,,8.8,1.0,2.6,0.391,0.7,1.1,0.623,2.5,0.5,1.6,2.7
,,,,,,,,,,,,,,,,,
3 seasons,,PHW,NBA,,131.0,,8.8,1.0,2.6,0.395,0.7,1.1,0.641,2.5,0.5,1.6,2.7
1 season,,MLH,NBA,,1.0,,13.0,1.0,7.0,0.143,0.0,0.0,,4.0,2.0,1.0,2.0
1 season,,SYR,NBA,,1.0,,5.0,1.0,2.0,0.5,0.0,2.0,0.0,1.0,0.0,2.0,2.0
